L1_CATEGORY,L2_CATEGORY,M0_GMV,M1_GMV,M2_GMV,M0_UNITS,AVG_DAILY_A2C,AVG_DAILY_S2C,AVG_GROSS_MARGIN_INR,DAYS_WITH_DATA,M0_VS_M1_GMV_GROWTH_PCT,M1_VS_M2_GMV_GROWTH_PCT,TWO_PERIOD_GMV_CAGR_PCT,SALES_TREND_DIRECTION,SALES_TREND_STABILITY_SCORE
makeup,nail paints and accessories,2588773.0,0.0,1645974.0,15731.0,,,,12,,-100.0,25.41,accelerating,75
beauty and grooming,body lotion,2003725.0,0.0,1410575.0,4116.0,,,,12,,-100.0,19.18,accelerating,75
bath body and hair,gift packs,1160157.0,0.0,700404.0,880.0,,,,12,,-100.0,28.7,accelerating,75
beauty and grooming,face cream,1039369.0,0.0,307867.0,1095.0,,,,12,,-100.0,83.74,accelerating,75
beauty and grooming,eye care,1007415.0,0.0,819671.0,2463.0,,,,12,,-100.0,10.86,accelerating,75
beauty and grooming,face wash and scrub,775364.0,0.0,315773.0,2084.0,,,,12,,-100.0,56.7,accelerating,75
beauty and grooming,nail makeup,627406.0,0.0,404277.0,4941.0,,,,12,,-100.0,24.58,accelerating,75
makeup,gift set,418593.0,0.0,387815.0,417.0,,,,12,,-100.0,3.89,accelerating,75
beauty and grooming,grooming accessories,329310.0,0.0,268175.0,389.0,,,,12,,-100.0,10.81,accelerating,75
makeup,gift packs,315322.0,0.0,300193.0,204.0,,,,12,,-100.0,2.49,accelerating,75
bath body and hair,hair colour,308830.0,0.0,111024.0,893.0,,,,12,,-100.0,66.78,accelerating,75
makeup,hair brushes and styling tools,282546.0,0.0,137821.0,1471.0,,,,12,,-100.0,43.18,accelerating,75
bath body and hair,mens grooming,238364.0,0.0,197030.0,452.0,,,,12,,-100.0,9.99,accelerating,75
hygiene and wellness,vitamins and digestives,164561.0,0.0,127307.0,403.0,,,,12,,-100.0,13.69,accelerating,75
beauty and grooming,eyewear,134813.0,0.0,0.0,334.0,,,,12,,,,accelerating,75
bath body and hair,face and lip care,105564.0,0.0,87771.0,800.0,,,,12,,-100.0,9.67,accelerating,75
beauty and grooming,lip makeup,67123.0,0.0,58712.0,116.0,,,,12,,-100.0,6.92,accelerating,75
hygiene and wellness,women's safety,50256.0,0.0,42395.0,104.0,,,,12,,-100.0,8.88,accelerating,75
beauty and grooming,eye makeup,43428.0,0.0,24552.0,86.0,,,,12,,-100.0,33.0,accelerating,75
hygiene and wellness,face wash and scrub,42450.0,0.0,37260.0,126.0,,,,12,,-100.0,6.74,accelerating,75
beauty and grooming,alta,28435.0,0.0,42975.0,1045.0,,,,12,,-100.0,-18.66,accelerating,75
bath body and hair,eye care,21147.0,0.0,21147.0,53.0,,,,12,,-100.0,0.0,accelerating,75
beauty and grooming,"perfumes, deos and talc",13876.0,0.0,9508.0,55.0,,,,12,,-100.0,20.81,accelerating,75
bath body and hair,scrubs and sponges,10261.0,0.0,7076.0,41.0,,,,12,,-100.0,20.42,accelerating,75
