rank,search_string,l1_category,l2_category,current_volume,mom_growth_pct,emerging_score,confidence,passed_gates
61,sunscreen,bath body and hair,face cream,29968,-77.02,48.76,Low,True
62,soaps,bath body and hair,soap,32027,-75.73,48.73,Low,True
63,hair removal cream,beauty and grooming,hair removal,3981,-77.38,48.73,Low,True
64,pears soap,bath body and hair,soap,11545,-77.21,48.71,Low,True
65,body scrubber,beauty and grooming,beauty accessories,3619,-77.54,48.69,Low,True
66,whisper xxxl,hygiene and wellness,feminine hygiene,3295,-77.07,48.69,Low,True
67,bb cream,bath body and hair,face cream,4245,-76.9,48.68,Low,True
68,pads,hygiene and wellness,feminine hygiene,30786,-77.43,48.67,Low,True
69,stayfree xl,hygiene and wellness,feminine hygiene,4558,-77.75,48.62,Low,True
70,stayfree,hygiene and wellness,feminine hygiene,20871,-77.42,48.6,Low,True
71,pad,hygiene and wellness,feminine hygiene,11037,-77.96,48.56,Low,True
72,face razor,beauty and grooming,hair removal,9553,-77.92,48.55,Low,True
73,lip liner,makeup,lip makeup,9069,-78.05,48.55,Low,True
74,hair colour,beauty and grooming,hair colour,19760,-77.98,48.54,Low,True
75,hair wax,beauty and grooming,mens grooming,4961,-77.61,48.5,Low,True
76,santoor,bath body and hair,soap,5873,-77.63,48.48,Low,True
77,colgate,hygiene and wellness,oral care,26761,-78.24,48.47,Low,True
78,sofy,hygiene and wellness,feminine hygiene,9458,-78.23,48.45,Low,True
79,durex,hygiene and wellness,sexual wellness,6896,-78.38,48.43,Low,True
80,sensodyne toothbrush,hygiene and wellness,oral care,5041,-78.51,48.43,Low,True
81,compact,makeup,face makeup,3794,-77.82,48.43,Low,True
82,toothbrush,hygiene and wellness,oral care,64670,-78.63,48.36,Low,True
83,sensodyne,hygiene and wellness,oral care,16045,-78.63,48.36,Low,True
84,shaving foam,beauty and grooming,shaving needs,4122,-78.76,48.36,Low,True
85,kajal,makeup,eye makeup,12427,-78.38,48.35,Low,True
86,soap,bath body and hair,soap,29278,-77.5,48.33,Low,True
87,eyeliner,makeup,eye makeup,9094,-78.76,48.33,Low,True
88,lens,hygiene and wellness,basic pharma,3369,-77.92,48.32,Low,True
89,pears body wash,bath body and hair,shower gel,3233,-78.93,48.32,Low,True
90,wax strips,beauty and grooming,hair removal,5409,-78.27,48.31,Low,True
91,hair removal spray,beauty and grooming,hair removal,3919,-78.94,48.31,Low,True
92,mascara,makeup,eye makeup,7166,-79.0,48.3,Low,True
93,pepsodent,hygiene and wellness,oral care,3188,-79.03,48.29,Low,True
94,mars lipstick,makeup,lip makeup,4157,-79.07,48.28,Low,True
95,condom,hygiene and wellness,sexual wellness,70033,-78.7,48.27,Low,True
96,adult diaper,hygiene and wellness,basic pharma,15112,-78.16,48.25,Low,True
97,hair removal,beauty and grooming,hair removal,4898,-79.22,48.24,Low,True
98,medimix soap,bath body and hair,soap,4402,-79.27,48.23,Low,True
99,toner,beauty and grooming,face makeup,3961,-78.97,48.23,Low,True
100,paste,hygiene and wellness,oral care,12990,-79.31,48.21,Low,True
101,lubricant,hygiene and wellness,sexual wellness,3875,-79.33,48.21,Low,True
102,period panties,hygiene and wellness,feminine hygiene,17417,-78.74,48.2,Low,True
103,dant kanti,hygiene and wellness,oral care,4844,-79.08,48.2,Low,True
104,body wash,bath body and hair,shower gel,43615,-79.29,48.18,Low,True
105,loofah,beauty and grooming,beauty accessories,10109,-79.45,48.18,Low,True
106,whisper panties,hygiene and wellness,feminine hygiene,4403,-79.4,48.18,Low,True
107,dove,bath body and hair,soap,9743,-79.13,48.15,Low,True
108,garnier,beauty and grooming,hair colour,3263,-79.12,48.15,Low,True
109,blush,makeup,face makeup,4850,-79.61,48.13,Low,True
110,mouthwash,hygiene and wellness,oral care,9322,-79.75,48.1,Low,True
111,toothpaste,hygiene and wellness,oral care,58871,-79.79,48.09,Low,True
112,lux,bath body and hair,soap,3886,-79.76,48.09,Low,True
113,tongue cleaner,hygiene and wellness,oral care,14323,-79.55,48.08,Low,True
114,dot & key,bath body and hair,face cream,6234,-78.6,48.07,Low,True
115,tampons,hygiene and wellness,feminine hygiene,3152,-79.0,48.06,Low,True
116,lip tint,makeup,lip makeup,3208,-79.98,48.03,Low,True
117,eyebrow pencils,makeup,eye makeup,3433,-80.07,48.01,Low,True
118,wooden comb,beauty and grooming,beauty accessories,3135,-78.85,48.0,Low,True
119,lip gloss,makeup,lip makeup,9974,-80.02,47.99,Low,True
120,shower gel,bath body and hair,shower gel,8867,-80.24,47.96,Low,True
121,shaving cream,beauty and grooming,shaving needs,5070,-80.35,47.93,Low,True
122,pregnancy,hygiene and wellness,basic pharma,3268,-79.79,47.93,Low,True
123,dove soaps,bath body and hair,soap,11002,-80.11,47.92,Low,True
124,chemist at play,bath body and hair,shower gel,9008,-80.47,47.9,Low,True
125,brush,hygiene and wellness,oral care,9918,-80.39,47.89,Low,True
126,pears,bath body and hair,soap,13795,-79.84,47.88,Low,True
127,veet cream,beauty and grooming,hair removal,3987,-79.9,47.87,Low,True
128,bodywash,bath body and hair,shower gel,4222,-80.67,47.85,Low,True
129,prega kit,hygiene and wellness,basic pharma,8067,-80.58,47.83,Low,True
130,lipstick,makeup,lip makeup,15870,-80.5,47.82,Low,True
131,pregnancy kit,hygiene and wellness,basic pharma,25066,-79.67,47.81,Low,True
132,pee safe,hygiene and wellness,feminine hygiene,4425,-79.52,47.81,Low,True
133,face cream,bath body and hair,face cream,5252,-80.89,47.79,Low,True
134,plush,hygiene and wellness,feminine hygiene,3823,-80.41,47.79,Low,True
135,lube,hygiene and wellness,sexual wellness,5921,-80.93,47.78,Low,True
136,razor for men,beauty and grooming,shaving needs,6567,-80.85,47.76,Low,True
137,medicine,hygiene and wellness,basic pharma,14249,-80.23,47.73,Low,True
138,face moisturizer,bath body and hair,face cream,6248,-81.15,47.72,Low,True
139,dot and key,bath body and hair,face cream,3334,-81.13,47.72,Low,True
140,sanitary pads,hygiene and wellness,feminine hygiene,32552,-80.16,47.71,Low,True
141,sex toys,hygiene and wellness,sexual wellness,7145,-80.8,47.7,Low,True
142,paradyes,beauty and grooming,hair colour,4916,-80.93,47.7,Low,True
143,mysore soap,bath body and hair,soap,8255,-80.98,47.69,Low,True
144,whisper xl,hygiene and wellness,feminine hygiene,4680,-80.91,47.69,Low,True
145,electric toothbrush,hygiene and wellness,oral care,3876,-80.99,47.69,Low,True
146,nivea body lotion,bath body and hair,body lotion,3236,-79.98,47.69,Low,True
147,bombay shaving company,beauty and grooming,shaving needs,3997,-81.12,47.65,Low,True
148,pregnancy test,hygiene and wellness,basic pharma,10484,-80.41,47.61,Low,True
149,derma roller,beauty and grooming,mens grooming,3394,-81.03,47.61,Low,True
150,nua,hygiene and wellness,feminine hygiene,14083,-81.15,47.59,Low,True
151,razor for women,beauty and grooming,hair removal,7899,-82.08,47.47,Low,True
152,durex condoms,hygiene and wellness,sexual wellness,4139,-81.19,47.45,Low,True
153,cough,hygiene and wellness,basic pharma,3126,-82.14,47.41,Low,True
154,renee,makeup,eye makeup,3008,-81.59,47.38,Low,True
155,mysore sandal,bath body and hair,soap,11576,-76.35,47.36,Low,True
156,nivea moisturizer,bath body and hair,face cream,6635,-82.47,47.33,Low,True
157,vicks inhaler,hygiene and wellness,basic pharma,3636,-81.81,47.31,Low,True
158,vicks,hygiene and wellness,basic pharma,15824,-82.44,47.29,Low,True
159,vaseline,bath body and hair,body lotion,15210,-82.01,47.25,Low,True
160,razor women,beauty and grooming,hair removal,3437,-82.91,47.25,Low,True
161,durex condom,hygiene and wellness,sexual wellness,8102,-82.12,47.2,Low,True
162,nivea lotion,bath body and hair,body lotion,3742,-82.98,47.1,Low,True
163,plum,bath body and hair,face cream,8540,-83.36,47.05,Low,True
164,lotion,bath body and hair,body lotion,3006,-82.53,47.0,Low,True
165,stayfree secure,hygiene and wellness,feminine hygiene,4105,-82.97,46.95,Low,True
166,pears bar,bath body and hair,soap,3560,-84.09,46.93,Low,True
167,stayfree nights,hygiene and wellness,feminine hygiene,3079,-83.62,46.93,Low,True
168,sofy antibacteria,hygiene and wellness,feminine hygiene,3372,-83.23,46.92,Low,True
169,colgate strong,hygiene and wellness,oral care,3481,-84.29,46.87,Low,True
170,condoms,hygiene and wellness,sexual wellness,4598,-83.31,46.84,Low,True
171,colgate total,hygiene and wellness,oral care,4993,-84.59,46.79,Low,True
172,sandal soap,bath body and hair,soap,3502,-84.19,46.79,Low,True
173,boroplus,bath body and hair,face cream,4289,-84.66,46.7,Low,True
174,mask,hygiene and wellness,basic pharma,10610,-84.72,46.67,Low,True
175,inhaler,hygiene and wellness,basic pharma,4413,-84.67,46.65,Low,True
176,cetaphil moisturiser,bath body and hair,body lotion,5060,-84.73,46.63,Low,True
177,nivea,bath body and hair,body lotion,7730,-84.67,46.54,Low,True
178,body oil,bath body and hair,body lotion,4289,-85.31,46.48,Low,True
179,body lotion,bath body and hair,body lotion,25439,-84.88,46.33,Low,True
180,whisper choice,hygiene and wellness,feminine hygiene,3137,-87.5,45.88,Low,True
181,gillette blade,beauty and grooming,shaving needs,3786,-88.6,45.71,Low,True
182,moisturising cream,bath body and hair,face cream,3572,-89.55,45.46,Low,True
183,n95 mask,hygiene and wellness,basic pharma,3362,-90.8,45.07,Low,True
184,boroline,bath body and hair,face cream,8209,-83.59,44.74,Low,True
185,sexual wellness,hygiene and wellness,sexual wellness,3076,-91.25,44.55,Low,True
186,bellavita perfume,bath body and hair,"perfumes, deos and talc",5013,-32.81,35.73,Medium,True
187,spray bottles,makeup,makeup brushes and tools,4613,-42.55,33.11,Low,True
188,parachute coconut oil,bath body and hair,hair oil and serum,5137,-64.16,27.29,Medium,True
189,aloe vera,beauty and grooming,face and lip care,7716,-71.24,25.35,Low,True
190,facial kit,beauty and grooming,face and lip care,10191,-71.54,25.31,Low,True
191,aloe vera gel,beauty and grooming,face and lip care,8139,-71.64,25.13,Low,True
192,himalayas,bath body and hair,face wash and scrub,3914,-72.06,24.98,Low,True
193,deodorant,bath body and hair,"perfumes, deos and talc",3413,-73.71,24.61,Low,True
194,meera shampoo,bath body and hair,shampoo and conditioner,3532,-74.28,24.57,Low,True
195,pilgrim shampoo,bath body and hair,shampoo and conditioner,5654,-74.14,24.49,Low,True
196,moov,hygiene and wellness,wound care and pain relief,4366,-74.83,24.42,Low,True
197,himalaya shampoo,bath body and hair,shampoo and conditioner,3550,-74.87,24.41,Low,True
198,underarm roll on,bath body and hair,"perfumes, deos and talc",4022,-75.01,24.37,Low,True
199,multani mitti,beauty and grooming,face and lip care,5331,-74.58,24.34,Low,True
200,hand wash,hygiene and wellness,hand wash and sanitizer,7173,-75.18,24.33,Low,True
201,crepe bandage,hygiene and wellness,wound care and pain relief,3679,-74.86,24.3,Low,True
202,nail cutter,makeup,makeup brushes and tools,12076,-75.21,24.24,Low,True
203,castor oil,bath body and hair,hair oil and serum,9098,-75.43,24.22,Low,True
204,handwash refill,hygiene and wellness,hand wash and sanitizer,4672,-75.72,24.18,Low,True
205,mamaearth,bath body and hair,face wash and scrub,3964,-75.75,24.17,Low,True
206,clinic plus shampoo,bath body and hair,shampoo and conditioner,3095,-75.44,24.14,Low,True
207,sunsilk shampoo,bath body and hair,shampoo and conditioner,4297,-75.91,24.13,Low,True
208,dove shampoo,bath body and hair,shampoo and conditioner,11761,-75.82,24.12,Low,True
209,simple face wash,bath body and hair,face wash and scrub,3252,-76.47,23.98,Low,True
210,hair conditioner,bath body and hair,shampoo and conditioner,3152,-76.48,23.98,Low,True
211,parachute hair oil,bath body and hair,hair oil and serum,3290,-76.5,23.97,Low,True
212,zandu balm,hygiene and wellness,wound care and pain relief,4746,-76.41,23.92,Low,True
213,vitamin c serum,beauty and grooming,face and lip care,3776,-75.68,23.89,Low,True
214,himalaya face wash,bath body and hair,face wash and scrub,5518,-76.27,23.88,Low,True
215,nail glue,makeup,nail paints and accessories,3005,-76.83,23.88,Low,True
216,face pack,beauty and grooming,face and lip care,4298,-76.92,23.86,Low,True
217,l'oreal shampoo,bath body and hair,shampoo and conditioner,16013,-76.97,23.81,Low,True
218,nail polish remover,makeup,nail makeup,6655,-77.29,23.76,Low,True
219,savlon,hygiene and wellness,wound care and pain relief,3409,-77.39,23.73,Low,True
220,bandage,hygiene and wellness,wound care and pain relief,5583,-77.45,23.72,Low,True
221,scalp massager,makeup,makeup brushes and tools,3305,-77.46,23.71,Low,True
222,mehendi cones,makeup,makeup brushes and tools,4990,-77.77,23.63,Low,True
223,dove conditioner,bath body and hair,shampoo and conditioner,4397,-77.21,23.63,Low,True
224,pimple patch,beauty and grooming,face and lip care,14631,-77.7,23.61,Low,True
225,dettol,hygiene and wellness,wound care and pain relief,25970,-77.98,23.57,Low,True
226,simple wash,bath body and hair,face wash and scrub,4435,-77.72,23.57,Low,True
227,volini spray,hygiene and wellness,wound care and pain relief,3146,-78.03,23.56,Low,True
228,rosemary water,bath body and hair,hair oil and serum,5342,-78.15,23.53,Low,True
229,anti-dandruff shampoo,bath body and hair,shampoo and conditioner,3440,-78.17,23.52,Low,True
230,dettol handwash,hygiene and wellness,hand wash and sanitizer,11446,-78.25,23.5,Low,True
231,powder,bath body and hair,"perfumes, deos and talc",4423,-77.97,23.5,Low,True
232,parachute hair,bath body and hair,hair oil and serum,5185,-78.02,23.49,Low,True
233,nat habit,bath body and hair,shampoo and conditioner,4593,-78.49,23.44,Low,True
234,coconut oil,bath body and hair,hair oil and serum,58411,-78.46,23.41,Low,True
235,tresemme shampoo,bath body and hair,shampoo and conditioner,5635,-78.3,23.41,Low,True
236,face scrub,bath body and hair,face wash and scrub,7252,-78.25,23.35,Low,True
237,sanitizer,hygiene and wellness,hand wash and sanitizer,9727,-78.83,23.34,Low,True
238,rose water,beauty and grooming,shampoo and conditioner,7129,-78.86,23.34,Low,True
239,band aid,hygiene and wellness,wound care and pain relief,5392,-78.85,23.34,Low,True
240,face wash,bath body and hair,face wash and scrub,47776,-78.5,23.32,Low,True
241,minimalist,bath body and hair,face wash and scrub,7238,-78.45,23.3,Low,True
242,almond oil,bath body and hair,hair oil and serum,5772,-78.98,23.3,Low,True
243,hair oil,bath body and hair,hair oil and serum,16535,-78.82,23.27,Low,True
244,sheet mask,beauty and grooming,face and lip care,5974,-78.82,23.27,Low,True
245,rosemary oil,bath body and hair,hair oil and serum,3813,-79.18,23.25,Low,True
246,handwash,hygiene and wellness,hand wash and sanitizer,48810,-79.27,23.23,Low,True
247,bare anatomy shampoo,bath body and hair,shampoo and conditioner,3100,-79.29,23.22,Low,True
248,head and shoulders shampoo,bath body and hair,shampoo and conditioner,3479,-79.37,23.2,Low,True
249,hair mask,bath body and hair,shampoo and conditioner,8163,-78.99,23.19,Low,True
250,the derma co,bath body and hair,face wash and scrub,4845,-78.87,23.18,Low,True
251,face serum,beauty and grooming,face and lip care,6115,-79.47,23.17,Low,True
252,l'oreal conditioner,bath body and hair,shampoo and conditioner,4872,-78.65,23.17,Low,True
253,l'oreal paris,bath body and hair,shampoo and conditioner,4766,-78.63,23.17,Low,True
254,shampoo,bath body and hair,shampoo and conditioner,59042,-78.81,23.16,Low,True
255,hair serum,bath body and hair,hair oil and serum,18712,-79.24,23.12,Low,True
256,conditioner,bath body and hair,shampoo and conditioner,18517,-79.4,23.12,Low,True
257,salicylic acid,beauty and grooming,face and lip care,3093,-78.88,23.11,Low,True
258,be bodywise,bath body and hair,"perfumes, deos and talc",3079,-79.69,23.11,Low,True
259,deo,bath body and hair,"perfumes, deos and talc",3069,-79.74,23.1,Low,True
260,pilgrim,beauty and grooming,face and lip care,6046,-79.34,23.09,Low,True
261,nail polish,makeup,nail paints and accessories,8145,-79.68,23.08,Low,True
262,facewash,bath body and hair,face wash and scrub,8529,-79.72,23.07,Low,True
263,cotton pads,makeup,makeup brushes and tools,4591,-79.39,23.04,Low,True
264,parachute,bath body and hair,hair oil and serum,11263,-79.77,23.02,Low,True
265,hand sanitizer,hygiene and wellness,hand wash and sanitizer,6106,-79.62,23.02,Low,True
266,vaseline lip,beauty and grooming,face and lip care,4488,-80.27,22.96,Low,True
267,face mask,beauty and grooming,face and lip care,17111,-79.89,22.95,Low,True
268,roll on,bath body and hair,"perfumes, deos and talc",8400,-80.28,22.92,Low,True
269,serum,beauty and grooming,face and lip care,6087,-80.23,22.89,Low,True
270,scalpe pro,bath body and hair,shampoo and conditioner,4329,-80.32,22.87,Low,True
271,nails,makeup,nail paints and accessories,3882,-79.99,22.84,Low,True
272,simple,bath body and hair,face wash and scrub,3714,-80.81,22.81,Low,True
273,bare anatomy,bath body and hair,shampoo and conditioner,10754,-80.71,22.8,Low,True
274,press on nails,makeup,nail paints and accessories,4113,-79.65,22.79,Low,True
275,nose strip,beauty and grooming,face and lip care,6686,-80.68,22.73,Low,True
276,mars,makeup,milk chocolates,4514,-80.42,22.69,Low,True
277,derma co,bath body and hair,face wash and scrub,4157,-80.99,22.69,Low,True
278,nail paint remover,makeup,nail paints and accessories,3592,-81.28,22.68,Low,True
279,pond's,bath body and hair,"perfumes, deos and talc",4080,-80.83,22.62,Low,True
280,foxtale,bath body and hair,face and lip care,5477,-80.43,22.58,Low,True
281,perfume women,bath body and hair,"perfumes, deos and talc",3238,-81.29,22.57,Low,True
282,volini,hygiene and wellness,wound care and pain relief,5308,-77.75,22.55,Low,True
283,cetaphil,bath body and hair,face wash and scrub,19299,-81.67,22.47,Low,True
284,wishcare,bath body and hair,face and lip care,4046,-81.19,22.45,Low,True
285,hyphen,bath body and hair,face and lip care,3887,-82.23,22.43,Low,True
286,vitamin c,beauty and grooming,face and lip care,4440,-82.3,22.41,Low,True
287,nail paint,makeup,nail paints and accessories,8384,-82.1,22.39,Low,True
288,dry shampoo,bath body and hair,shampoo and conditioner,3124,-81.99,22.38,Low,True
289,deos,bath body and hair,"perfumes, deos and talc",3680,-82.71,22.3,Low,True
290,anti dandruff,bath body and hair,shampoo and conditioner,5423,-82.55,22.27,Low,True
291,cotton,makeup,makeup brushes and tools,6447,-83.19,22.17,Low,True
292,liquid handwash,hygiene and wellness,hand wash and sanitizer,3287,-83.43,22.11,Low,True
293,perfume,bath body and hair,"perfumes, deos and talc",11706,-82.6,22.03,Low,True
294,glycerine,beauty and grooming,face and lip care,3679,-81.93,22.02,Low,True
295,nail,makeup,nail paints and accessories,3662,-82.3,22.0,Low,True
296,lip balm,beauty and grooming,face and lip care,32378,-83.79,21.86,Low,True
297,cetaphil cleanser,bath body and hair,face wash and scrub,15228,-84.22,21.78,Low,True
298,vaseline jelly,beauty and grooming,face and lip care,6301,-84.95,21.7,Low,True
299,perfumes,bath body and hair,"perfumes, deos and talc",20151,-84.67,21.62,Low,True
300,bella vita,bath body and hair,"perfumes, deos and talc",5558,-85.57,21.53,Low,True
301,pilgrim serum,beauty and grooming,face and lip care,5287,-85.59,21.52,Low,True
302,gift for men,bath body and hair,"perfumes, deos and talc",5829,-87.02,21.06,Low,True
303,perfume men,bath body and hair,"perfumes, deos and talc",4508,-87.67,20.96,Low,True
304,sebamed,bath body and hair,shampoo and conditioner,4338,-79.03,3.29,Low,True
