item_id,item_name,brand,l1_category,l2_category,l3_category,pack_type,combo_size,storage_requirement_type,mrp
987028,Parachute Advansed Pro Hair Growth Serum | Reduces Hair fall | For Thick & Healthy Hair,Parachute Advansed,Bath Body and Hair,Hair Oil and Serum,Hair Serum,NULL,NULL,Ambient,999.0
916604,Brillare Rosemary Oil Shots for Hair Growth,Brillare,Bath Body and Hair,Hair Oil and Serum,Hair Oil,NULL,NULL,Ambient,795.0
698294,Adidas Victory League Eau de Toilette,Adidas,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,1499.0
358210,Bare Necessities Holiday Christmas Gift Set (Secret Santa Gift),Bare Necessities,Beauty and Grooming,Gift Packs,Personal Care Gift,NULL,NULL,Ambient,700.0
105567,Sirona Reusable Eyebrow Razor for Women - 3 Razors | Painless Facial Hair Removal,Sirona,Beauty and Grooming,Hair Removal,Razor,Box,1.0,Ambient,349.0
566626,Polish Me Pretty Multicolour Luxe Press On Nails (Almond Short, Selling Sunset),Polish Me Pretty,Makeup,Nail Paints and Accessories,Stick-on Nails,Pack,NULL,Ambient,899.0
607368,Park Avenue Eau De Perfume Gift Kit for Men Set of 3,Park Avenue,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Box,NULL,Ambient,1349.0
53159,Mamaearth Onion Hair Fall Control Shampoo,Mamaearth,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Bottle,1.0,Ambient,230.0
477550,Plush Period Panties Seamless | L-XL | 0% Leak | Disposable,Plush,Hygiene and Wellness,Feminine Hygiene,Panties and Liners,Box,NULL,Ambient,309.0
64542,Mamaearth Vitamin C Face Wash,Mamaearth,Bath Body and Hair,Face Wash and Scrub,Face Wash,Pack,1.0,Ambient,599.0
397940,ROOTS Truglam Brush Use for Men and Women - TG66-CN,ROOTS,Beauty and Grooming,Beauty Accessories,Beauty Tools,Pack,1.0,Ambient,375.0
202386,Dermatouch Aha 10% Bha 1% Body Lotion For Men & Women - Body Lotion For Dry Skin – De-Tans, Moisturizing & Bumpy Skin / Suitable For All Skin Types (200ml),Dermatouch,Bath Body and Hair,Body Lotion,Moisturising Lotion,NULL,NULL,Ambient,349.0
601608,Wild Oak Moroccan Rose Sugar Body Scrub Kojic Acid, Hyaluronic Acid & Ceramides,Wild Oak,Bath Body and Hair,Shower Gel,Body Scrub,NULL,NULL,Ambient,540.0
4836,Wow Skin Science Onion Black Seed Hair Oil,Wow Skin Science,Bath Body and Hair,Hair Oil and Serum,Functional Hair Oil,Bottle,1.0,Ambient,429.0
641309,RENEE H2O Hydrating Glossy Liquid Lipstick Hyaluronic Acid Peptides Mauve Ocean,RENEE,Beauty and Grooming,Face and Lip Care,Lipstick,NULL,NULL,Ambient,599.0
919230,Bold Care Playbox Couples Gift Set(Box),Bold Care,Hygiene and Wellness,Sexual Wellness,Sexual Enhancers,Pack,1.0,Ambient,1999.0
286851,L'Oreal Paris Infallible 24 Hr Grip Matte Liquid Liner Nu Ink 01,L'Oreal Paris,Makeup,Eye Makeup,Eyeliner,Box,NULL,Ambient,899.0
15784,Godrej Expert Easy 5 Minute Shampoo Hair Colour Sachet - Natural Black,Godrej Expert,Beauty and Grooming,Hair Colour,Powder Hair Colour,Pouch,1.0,Ambient,120.0
116130,B.O.B.I. Glitter Eyeliner Green, Sparkle Finish, Waterproof, Smudgeproof, Quick Dry, Crisp Liner Finish,B.O.B.I.,Beauty and Grooming,Eye Makeup,Eyeliner,Box,1.0,Ambient,540.0
761830,Multani Naturals Kojic Acid & Haldi Chandan Soap | Skin Brightening Soap | Paraben & Mineral Oil Free,MULTANI,Bath Body and Hair,Soap,Glycerine Soap,NULL,NULL,Ambient,375.0
92669,MARS Cosmetics Northern Lights Liquid Eyeshadow (04-Icelandic Frost),MARS Cosmetics,Makeup,Eye Makeup,Eye Shadow,NULL,NULL,Ambient,599.0
42430,L’Oréal Professionnel Absolut Repair 10-in-1 Multi-Benefit Hair Serum For Damaged Hair,L'Oreal Professionnel,Bath Body and Hair,Hair Oil and Serum,Hair Serum,Pack,1.0,Ambient,1390.0
313856,Guess Seductive Woman Eau de Toilette,Guess,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,5900.0
135390,Aroma Magic 3 in 1 Jasmine Blossom Body Wash For Skin, Hair, and Body,Aroma Magic,Bath Body and Hair,Shower Gel,Body Wash,NULL,NULL,Ambient,225.0
645651,SKIN1004 Madagascar Centella Probio-Cica Intensive Ampoule,SKIN1004,Beauty and Grooming,Face Cream,Face Care,Box,1.0,Ambient,2299.0
10617,Parachute Advansed Soft Touch Body Lotion,With Honey,Silky Smooth Skin,Parachute,Bath Body and Hair,Body Lotion,Moisturising Lotion,Bottle,1.0,Ambient,425.0
238497,Pilgrim 10% Vitamin C Face Serum For Daily Brightness,Pilgrim,Beauty and Grooming,Face and Lip Care,Face Care,Bottle,1.0,Ambient,545.0
225241,Sirona Disposable Period Panties for Women - Size ( M-L )| 360° Sanitary Protection for Heavy Flow | No Leakage, No Rashes, No Discomfort,Sirona,Hygiene and Wellness,Feminine Hygiene,Panties and Liners,Pack,1.0,Ambient,550.0
464934,Neude 3-in-1 SPF 45 PA+++ Moisturizing & Repairing Sunscreen - No white cast - Sunstoppable,Neude Skin,Bath Body and Hair,Face Cream,Sunscreen,Pack,NULL,Ambient,530.0
82705,The Skin Story Keratin Shampoo For Soft, Smooth Hair Split End & Frizz Repair, All Hair Types,The Skin Story,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Bottle,1.0,Ambient,325.0
356721,Earth N Pure Wheat Germ Oil 200 ML Natural and Therapeutic Grade,Earth N Pure,Beauty and Grooming,Face and Lip Care,Face Care,Box,1.0,Ambient,1754.0
25901,Nyle Naturals Volume Enhance Anti Hairfall Shampoo, for Men and Women,Nyle,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Dispenser,1.0,Ambient,630.0
512908,Arata Hair Fix Stick,Arata,Beauty and Grooming,Mens Grooming,Hair Styling,Pack,NULL,Ambient,399.0
70123,PLIX Rosemary Advanced Hair Growth Serum for Hair Density & Thickness (For Men & Women),PLIX,Bath Body and Hair,Hair Oil and Serum,Hair Serum,Box,1.0,Ambient,750.0
348983,Thank You Farmer Korean Sun Stick Spf50+ Pa++++ - Portable, Soothing & High Uv Protection,Thank You Farmer,Beauty and Grooming,Body Lotion,Sunscreen,Box,1.0,Ambient,2399.0
467980,Arata Anti-Frizz Super Conditioner with Keratin & Rice Water (Smoothing & Moisturising),Arata,Bath Body and Hair,Shampoo and Conditioner,Hair Mask,Pack,1.0,Ambient,649.0
717866,Brillare 10% Vitamin C Serum with Probiotics | Glowing Skin & Daily Brightening Care,Brillare,Beauty and Grooming,Face and Lip Care,Face Care,Bottle,1.0,Ambient,895.0
14083,Pee Safe Domina Female Condom,Pee Safe,Hygiene and Wellness,Sexual Wellness,Condoms,Pack,1.0,Ambient,199.0
88188,Parachute Advansed Almond-enriched Coconut Hair Oil,Parachute Advansed,Bath Body and Hair,Hair Oil and Serum,Coconut Hair Oil,Bottle,1.0,Ambient,378.0
35178,Bombay Shaving Company Charcoal Hair Removal Spray,Bombay Shaving Company,Beauty and Grooming,Mens Grooming,Hair Removal Cream,Can,1.0,Ambient,499.0
424032,Suganda Skincare Advanced Pigmentation Serum,Suganda Skincare,Beauty and Grooming,Face and Lip Care,Face Care,NULL,1.0,Cooler,1600.0
682309,ROOTS Truglam Brush Use For Men And Women - Wdr42,ROOTS,Beauty and Grooming,Beauty Accessories,Beauty Tools,Pack,1.0,Ambient,395.0
779014,Ruby's Organics Tinted Mineral Sunscreen with SPF 40,Ruby's Organics,Bath Body and Hair,Face Cream,Sunscreen,Pack,NULL,Ambient,1050.0
426986,Swiss Beauty Trendy Nudes Color Splash Highly Pigmented Quick Drying Nail Paint - Set Of 4,Swiss Beauty,Makeup,Nail Paints and Accessories,Nail Polish,Pack,1.0,Ambient,745.0
67412,Revlon Super Lustrous Nail Enamel (Pure Pearl),Revlon,Makeup,Nail Paints and Accessories,Nail Polish,Bottle,1.0,Ambient,249.0
979117,FACES CANADA Ultime Pro Matte Makeup Fixer Mini| Long Lasting Makeup Setting Spray,FACES CANADA,Makeup,Face Makeup,Setting Spray,Bottle,1.0,Ambient,349.0
574322,BoroPlus Soft Daily UV Cream SPF 30 PA+++ with Ginger Lily for sun & moisture care,Boroplus,Beauty and Grooming,Beauty Accessories,Moisturising Cream,NULL,NULL,Ambient,60.0
78994,HiPer Skin Rice Microfoliant Resurfacing Face Scrub|Gentle Exfoliation with Rice & Tea Tree Oil|Allantoin, Sphingolipids & Lactobacillus Ferment Pre-biotic|For Acne Prone Skin,Boho Botanist,Bath Body and Hair,Face Wash and Scrub,Face Scrub,Pack,NULL,Ambient,599.0
452011,Marvis Amarelli Licorice Toothpaste,Marvis,Hygiene and Wellness,Oral Care,Toothpaste,Box,1.0,Ambient,2100.0
666889,Maybelline New York Colossal Bubble Waterproof Mascara - Volumizing, Buildable,Maybelline New York,Makeup,Eye Makeup,Mascara,NULL,NULL,Ambient,649.0
16961,Pond's Magic Freshness Talc with Acacia Honey,Pond's,Bath Body and Hair,Perfumes, Deos and Talc,Talcum Powder,Bottle,1.0,Ambient,420.0
545254,Mannlich Underarm Roll On, 2% Kojic & Lactic Acid, 4% AHA & BHA, Fades Dark Spots, Pigmentation & Bad Odor,Mannlich,Bath Body and Hair,Perfumes, Deos and Talc,Roll Ons,NULL,NULL,Ambient,399.0
26993,mCaffeine Naked & Raw Coffee Espresso Body Wash Tub,mCaffeine,Bath Body and Hair,Shower Gel,Natural Shower Gel,Tub,1.0,Ambient,399.0
42308,L’Oréal Professionnel Absolut Repair Shampoo For Dry and Damaged Hair With Wheat Protein,L'Oreal Professionnel,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Pack,1.0,Ambient,750.0
94126,Nivea Men Active Clean Shower Gel,Nivea,Bath Body and Hair,Shower Gel,Men Shower Gel,Pack,1.0,Ambient,293.0
134008,Schwarzkopf Professional Bonacure pH 4.5 Color Freeze Shampoo,Schwarzkopf Professional,Bath Body and Hair,Shampoo and Conditioner,Shampoo,NULL,NULL,Ambient,1000.0
570174,Vilvah Store Goat Milk Shampoo,Vilvah,Bath Body and Hair,Shampoo and Conditioner,Shampoo,NULL,NULL,Ambient,545.0
741434,Jaquline USA Stack Attack 4 in 1 Liquid Lipstick - Boss Bold,Jaquline USA,Beauty and Grooming,Face and Lip Care,Lipstick,Pack,1.0,Ambient,599.0
271005,David Beckham Infinite Aqua Eau De Parfum,David Beckham,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Box,1.0,Ambient,4800.0
320500,Saboo Thailand Bath Bomb Powder Orange,Saboo,Bath Body and Hair,Shower Gel,Body Wash,Pack,1.0,Ambient,750.0
505615,Minimalist Anti-Dandruff Shampoo 3.5%,Minimalist,Bath Body and Hair,Shampoo and Conditioner,Shampoo,NULL,NULL,Ambient,265.0
433174,Elitty Purple Liquid Matte Transfer proof, Smudgeproof & Lightweight Lipstick (Bootycall),Elitty,Beauty and Grooming,Lip Makeup,Lipstick and Gloss,NULL,NULL,Ambient,399.0
353263,Ajmal Gold Series Attar Gift Set for Unisex | Set of 4 x 5ml,Ajmal,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Box,1.0,Ambient,1299.0
562702,The Man Company Night Perfume For Men | Citrusy Exotic & Woody,The Man Company,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,749.0
311280,Plum Green Tea Pore Cleansing Face Wash,Plum,Bath Body and Hair,Face Wash and Scrub,Face Wash,Pack,NULL,Ambient,550.0
970378,Tirtir Mask Fit Red Mini Cushion Sand,Tirtir,Beauty and Grooming,Face and Lip Care,Face Care,NULL,NULL,Ambient,1200.0
48920,The Body Shop Moringa Shower Gel,The Body Shop,Bath Body and Hair,Shower Gel,Fragrance Shower Gel,Bottle,1.0,Ambient,495.0
960748,Guess Bella Vita Body Mist,Guess,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,2490.0
44693,Innisfree Foaming Pore Cleanser With Volcanic Clusters(150g),Innisfree,Bath Body and Hair,Face Wash and Scrub,Face Wash,Pack,1.0,Ambient,800.0
354223,Forest Essentials Ayurvedic Bhringraj Head Massage Oil for Reduced Hair Fall,Forest Essentials,Bath Body and Hair,Hair Oil and Serum,Hair Oil,Bottle,1.0,Ambient,465.0
115876,Mila Beauté Pookie Serum Liquid Blush – Love Bug,Mila Beauté,Makeup,Face Makeup,Blush,NULL,NULL,Ambient,310.0
97781,URBAN GABRU Hair Removal Cream Spray With Lemon Extract,URBAN GABRU,Beauty and Grooming,Mens Grooming,Hair Removal Cream,Pack,1.0,Ambient,399.0
800776,Shryoan Velvety Matte Non-Transfer Lipstick| Long Lasting | Waterproof | Shade 18,SHRYOAN,Makeup,Lip Makeup,Lipsticks,NULL,NULL,Ambient,329.0
801421,Just Herbs 12-Free Long Lasting Quick Dry Smooth Chip Resistant Nail Paint 鈥?Minty Fresh 11ml,Just Herbs,Makeup,Nail Paints and Accessories,Nail Polish,Glass Bottle - Fragile,NULL,Ambient,149.0
559619,Shryoan Velvety Matte Non-Transfer Lipstick| Long Lasting | Waterproof | Shade 10,SHRYOAN,Makeup,Lip Makeup,Lipsticks,NULL,NULL,Ambient,329.0
293411,VILLAIN Oud Eau De Parfum for Men,| Super Long Lasting Premium Fragrance|,VILLAIN,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,799.0
984913,D'Acne 2% Salicylic Acid And 1% Glycolic Acid Foaming Face wash,D'Acne,Bath Body and Hair,Face Wash and Scrub,Face Wash,Box,1.0,Ambient,573.0
307929,Earth N Pure Brahmi Oil 50 ML Natural and Therapeutic Grade,Earth N Pure,Bath Body and Hair,Hair Oil and Serum,Hair Oil,Box,1.0,Ambient,549.0
934366,Tattvalogy Licorice Root Powder | Mulethi Powder | Defence From Acne & Pimples,Tattvalogy,Beauty and Grooming,Face Wash and Scrub,Face Wash,Box,1.0,Ambient,275.0
984956,Minimalist Ala & Aha 7% Face Wash With Vitamin B5 For Glowing Skin & Minimalist Niacinamide 10% Mini face serum with Matmarine + Zinc + Acetyl Glucosamine,Minimalist,Bath Body and Hair,Face Wash and Scrub,Face Wash,Pack,1.0,Ambient,648.0
630029,Skin Cottage Shower Gel Peach Orient,Skin Cottage,Bath Body and Hair,Shower Gel,Body Wash,Dispenser,1.0,Ambient,569.0
957010,Mila Beauté Complete Glow BB Cream – Light,Mila Beauté,Makeup,Face Makeup,BB Cream,NULL,NULL,Ambient,210.0
436505,Bella Vita Luxury Mood Collection EDP Gift Set for Women,Bella Vita Luxury,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Pack,1.0,Ambient,849.0
569038,Coloressence Cute Coats Mini Nail Polish (M-84 Fuchsia Flame),Coloressence,Makeup,Nail Paints and Accessories,Nail Polish,NULL,NULL,Ambient,60.0
11705,Strepsils Blister Ginger & Lemon,Strepsils,Hygiene and Wellness,Basic Pharma,Cough and Cold Medicine,Pouch,1.0,Cooler,28.0
961303,United Colors of Benetton United Dreams Together Her Deodorant Spray,United Colors of Benetton,Bath Body and Hair,Perfumes, Deos and Talc,Deos,Bottle,1.0,Ambient,595.0
564935,mCaffeine FIEN Men Written By Women | Perfume Gift Set for Men | 12 Hrs Long Lasting EDP,mCaffeine,Beauty and Grooming,Gift Packs,Perfumes,Box,1.0,Ambient,799.0
729841,Cetaphil Moisturising Cream,Cetaphil,Bath Body and Hair,Face Cream,Moisturising Cream,Jar,NULL,Ambient,1799.0
842166,Pears Naturale Vitamin C Soap,Pears,Bath Body and Hair,Soap,Soaps,Pack,1.0,Ambient,367.0
67459,Ustraa After Dark Cologne - Perfume for Men,Ustraa,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,599.0
388234,TENA Men Adult Underwear Active Fit Pants Triple Protection Normal - Large/ Extra Large (Set of - 8),TENA,Hygiene and Wellness,Basic Pharma,Adult Diaper,Pack,1.0,Ambient,797.0
959642,Tresemme Lamellar Gloss Conditioner, with Amino Gloss Complex, for Ultra Shiny,Tresemme,Bath Body and Hair,Shampoo and Conditioner,Conditioner,NULL,1.0,Ambient,310.0
88869,Nua Ultra Safe 12XL+, 20XL, 18L Sanitary Pads with Disposal Covers,Nua,Hygiene and Wellness,Feminine Hygiene,Sanitary Pads,NULL,1.0,Ambient,899.0
307360,indē wild Champi Hair Oil,indē wild,Bath Body and Hair,Hair Oil and Serum,Functional Hair Oil,NULL,NULL,Ambient,355.0
67707,Clinic Plus Strength & Shine With Egg Protein Shampoo,Clinic Plus,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Bottle,1.0,Ambient,950.0
740240,Mamaearth Moisture Matte Longstay Lipstick 01 Carnation Nude ,Mamaearth,Makeup,Lip Makeup,Lipsticks,Box,1.0,Ambient,349.0
498495,Just Herbs Handmade Wooden Neem Comb For Hair Growth, Fall Control, Scalp Health,Just Herbs,Makeup,Makeup Brushes and Tools,Hair Combs,Pack,1.0,Ambient,175.0
525745,BELLAVITA Nail Polish| Vibrant Color lustrous shine long lasting | Smooth Application|Nail Paints for women| Blush,BellaVita,Beauty and Grooming,Nail Makeup,Nail Paint Remover,Jar,1.0,Ambient,199.0
212649,Mederma Gel Skin Care For Scars,Mederma,Beauty and Grooming,Face Cream,Face Care,Box,1.0,Ambient,895.0
12775,Pee Safe 100% Organic Cotton Biodegradable Sanitary Pads Overnight,Pee Safe,Hygiene and Wellness,Feminine Hygiene,Sanitary Pads,Box,1.0,Ambient,299.0
551581,Wild Stone Code Terra Eau De Parfum For Men,Wild Stone,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Box,1.0,Ambient,1299.0
384077,ROOTS Truglam Brush Use for Men and Women - 9511s,ROOTS,Beauty and Grooming,Beauty Accessories,Beauty Tools,Pack,1.0,Ambient,295.0
47703,Botanic Hearth Tea Tree Body Wash,Botanic Hearth,Bath Body and Hair,Shower Gel,Moisturising Shower Gel,Bottle,1.0,Ambient,345.0
113291,Beautiliss Professional Folding Face And Eyebrow Razor (Assorted Colour),Beautiliss Professional,Beauty and Grooming,Hair Removal,Razor,Box,1.0,Ambient,140.0
63705,Biotique Magicolor Lipstick (Twinkle Pink),Biotique,Makeup,Lip Makeup,Lipsticks,Pack,1.0,Ambient,125.0
148710,WishCare Multi Peptide Anti Hairfall Conditioner - Rice Water, Rosemary, Capilia Longa,WishCare,Bath Body and Hair,Shampoo and Conditioner,Conditioner,NULL,NULL,Ambient,99.0
71442,The Body Shop Moringa Shower Gel 250ml,The Body Shop,Bath Body and Hair,Shower Gel,Body Wash,Pack,1.0,Ambient,395.0
401659,GN 1917 Green Harmony - Premium Eau de Parfume,GN 1917,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,NULL,NULL,Ambient,200.0
439823,Cadiveu |Brasil Cacau Anti Frizz Shampoo For Dry & Frizzy Hair,Cadiveu,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Bottle,1.0,Ambient,3750.0
649620,Boho Botanist Almond & Babassu Oil Body Wash(200 ml),Boho Botanist,Bath Body and Hair,Shower Gel,Body Wash,Pack,NULL,Ambient,799.0
977696,Just Herbs Timeless Treasure Handcrafted Non Alcoholic Long Lasting Fragrance Perfect Gift Floral Attar Set of 4,Just Herbs,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Pack,NULL,Ambient,2750.0
466194,Fabskin Wax Heater For Waxing For Women | Wax Heater Machine Suitable For All Type of Waxes | Professional & Home Use,Fabskin,Beauty and Grooming,Hair Removal,Hair Removal,NULL,NULL,Ambient,500.0
362303,Sebastian Professional Dark Oil Hair Styling Oil,Sebastian Professional,Bath Body and Hair,Hair Oil and Serum,Hair Oil,NULL,NULL,Ambient,3100.0
706896,Schwarzkopf Professional OSiS+ Sparkler Hair Spray,Schwarzkopf Professional,Bath Body and Hair,Hair Oil and Serum,Hair Spary,NULL,NULL,Ambient,1250.0
799524,Thiklok Hair Building Fibers Black,Thiklok,Beauty and Grooming,Beauty Accessories,Hair Styling,Box,1.0,Ambient,949.0
396301,Glow cupid Hydrocolloid Flower Shape Acne Pimple Patch with Tea Tree Oil & Calendula - 33 Patches.,Glow cupid,Beauty and Grooming,Face and Lip Care,Face Care,NULL,NULL,Ambient,399.0
930783,Banana Boat Sport Ultra Spf 100,Banana Boat,Bath Body and Hair,Body Lotion,SPF Lotion,Pack,1.0,Ambient,1750.0
741981,RENEE H2O Hydrating Glossy Liquid Lipstick Hyaluronic Acid Peptides Rose Water,RENEE,Beauty and Grooming,Face and Lip Care,Lipstick,NULL,NULL,Ambient,599.0
107561,ROOTS Pocket Combs Use For Men And Women - 43,ROOTS,Makeup,Makeup Brushes and Tools,Hair Combs,Pack,1.0,Ambient,120.0
485362,Kaya Collagen Boost Face Serum, Fine Lines & Wrinkles Reduction, Collage Booster, Light Weight Face Serum, Hydration,Kaya,Beauty and Grooming,Face and Lip Care,Face Care,Bottle,1.0,Ambient,1500.0
630337,Pilgrim Peeling Solution - 25% AHA + 2% BHA + 5% PHA  for Tan Removal,Pilgrim,Beauty and Grooming,Face and Lip Care,Face Care,NULL,NULL,Ambient,200.0
621484,Anchor Clove Power Toothpaste,Anchor,Hygiene and Wellness,Oral Care,Toothpaste,Box,1.0,Ambient,59.0
387756,Skinn by Titan Classic Women Sheer,Skinn by Titan,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,NULL,NULL,Ambient,695.0
156875,VI-JOHN Prakritik Tomato Face Serum, Moisturizes & Hydrates, Made With 100% Natural Bio Actives,VJ-JOHN,Beauty and Grooming,Face and Lip Care,Face Care,Bottle,1.0,Ambient,649.0
495888,DENVER Hamilton Deodorant Body Spray | Long Lasting Deo for Men,DENVER,Bath Body and Hair,Perfumes, Deos and Talc,Deos,Dispenser,1.0,Ambient,230.0
246845,Saboo Thailand Bath Bomb Powder Cherry,Saboo,Bath Body and Hair,Shower Gel,Body Wash,Pack,1.0,Ambient,750.0
148556,Laneige Glaze Craze Tinted Lip Serum Peach Glaze,Laneige,Beauty and Grooming,Face and Lip Care,Lip Balm,NULL,NULL,Ambient,1150.0
785078,Lakme 9to5 Hya Matte Lip Liquid + Hyaluronic Acid AfterhoursWine,Lakme,Makeup,Lip Makeup,Lipsticks,Box,1.0,Ambient,799.0
603722,Fastrack Night Out Eau De Parfum For Men,Fastrack,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,845.0
13668,Manforce Xotic Strawberry Flavoured Condoms | 10 pcs | Extra Dotted & Lubricated Latex Condoms | For Enhanced Pleasure of Both,Manforce,Hygiene and Wellness,Sexual Wellness,Condoms,Box,1.0,Ambient,90.0
402343,RENEE Base Coat Nail Enamel,RENEE,Makeup,Nail Paints and Accessories,Nail Polish,Pack,NULL,Ambient,149.0
35146,Axe Signature Champion Long Lasting No Gas Body Deodorant For Men,Axe,Bath Body and Hair,Perfumes, Deos and Talc,Deos,Bottle,1.0,Ambient,310.0
79367,RENEE False Stick On Nails - Mtn 03,RENEE,Makeup,Nail Paints and Accessories,Stick-on Nails,Pack,1.0,Ambient,499.0
25477,Colgate Max Fresh Peppermint Toothpaste,Colgate,Hygiene and Wellness,Oral Care,Toothpaste,Box,1.0,Ambient,544.0
5422,Lux Soft Touch Body Wash with French Rose,Lux,Bath Body and Hair,Shower Gel,Fragrance Shower Gel,Bar,1.0,Ambient,99.0
432728,RENEE H2O Hydrating Glossy Liquid Lipstick Hyaluronic Acid Peptides Mocha Mist,RENEE,Beauty and Grooming,Face and Lip Care,Lipstick,NULL,NULL,Ambient,599.0
505013,Healthaid Vein Care Topical Phyto Oil,HEALTHAID,Hygiene and Wellness,Wound Care and Pain Relief,Topical Pain Relief,Box,1.0,Ambient,990.0
72003,Paradyes No Bleach Hazel Brown Glossy Hair Tint, Ammonia-Free Formula Only for Natural Black Hair,Paradyes,Beauty and Grooming,Hair Colour,Creme Hair Colour,Pack,1.0,Ambient,645.0
144593,ROOTS Zero Tangl Brush Use for Men and Women - RZTR-SG,ROOTS,Beauty and Grooming,Beauty Accessories,Beauty Tools,Pack,1.0,Ambient,345.0
42933,Combo Old Spice Lionpride Spray Perfume And Mach3 Cartridge Blade,Old Spice,Bath Body and Hair,Perfumes, Deos and Talc,Deos,NULL,1.0,Ambient,574.0
87411,DENVER Hamilton Range Perfume Gift Set For Men - Hamilton, Imperial, Honour, Caliber,DENVER,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Box,1.0,Ambient,799.0
540489,Carlton London Men Defy Edp,Carlton London,Bath Body and Hair,Perfumes, Deos and Talc,Perfumes,Bottle,1.0,Ambient,1690.0
358994,Curl Up Curl Styling Combo with Curl Defining Cream & Ultra Defining Gel | For Wavy & Curly Hair,Curl Up,Beauty and Grooming,Mens Grooming,Hair Styling,Pack,1.0,Ambient,1480.0
543889,VI-JOHN Feather Touch Rose & Aloevera Hair Removal Wax Strips For Normal Skin,VJ-JOHN,Beauty and Grooming,Hair Removal,Wax Strips,Box,1.0,Ambient,110.0
10402,Vaseline Intensive Care Deep Moisture Body Lotion,Vaseline,Bath Body and Hair,Body Lotion,Moisturising Lotion,Bottle,1.0,Ambient,249.0
438451,Livon Serum For Dry & Rough Hair For 24 Hour Frizz-Free Smoothness,Livon,Bath Body and Hair,Hair Oil and Serum,Hair Serum,Dispenser,1.0,Ambient,375.0
567058,HASK Curl Care Moisturizing Shampoo,HASK,Bath Body and Hair,Shampoo and Conditioner,Shampoo,Bottle,1.0,Ambient,875.0
