SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,CURRENT_MONTH_VOLUME,PREV_MONTH_VOLUME,MOM_GROWTH_PCT,ZERO_RESULT_RATE
colgate tooth powder,hygiene and wellness,oral care,906,414,118.84,0.00
men deodorant,bath body and hair,"perfumes, deos and talc",1331,609,118.56,0.00
sexual wellness,hygiene and wellness,sexual wellness,31997,14853,115.42,0.06
pilgrim glow,bath body and hair,face cream,835,388,115.21,0.00
typsy beauty beauty,makeup,lip makeup,1196,558,114.34,0.00
mysore soap,bath body and hair,soap,40303,18836,113.97,0.01
dabur amla hair,bath body and hair,hair oil and serum,2606,1220,113.61,0.00
pilgrim lip,makeup,lip makeup,1049,494,112.35,0.00
gillette cartridge,beauty and grooming,shaving needs,5606,2646,111.87,0.00
dabur red toothpaste,hygiene and wellness,oral care,15904,7519,111.52,0.00
bright sunscreen,bath body and hair,face cream,2022,958,111.06,0.05
women deodorant,bath body and hair,"perfumes, deos and talc",1014,481,110.81,0.00
oxylife bleaching,beauty and grooming,face and lip care,1270,603,110.61,0.08
sanfe detan,bath body and hair,face cream,786,374,110.16,0.00
small face wash,bath body and hair,face wash and scrub,652,311,109.65,0.00
dermatouch face,beauty and grooming,face wash and scrub,3015,1451,107.79,0.03
herbal essences shampoo,bath body and hair,shampoo and conditioner,3189,1538,107.35,0.00
extra thin condom,hygiene and wellness,sexual wellness,753,365,106.30,0.00
men roll on,bath body and hair,"perfumes, deos and talc",1296,629,106.04,0.00
false eye lashes,makeup,eye makeup,1619,788,105.46,0.00
sunscreen mini,bath body and hair,face cream,1728,842,105.23,0.00
facial cleanup kit,bath body and hair,face and lip care,1642,801,104.99,0.00
rosemary serum,bath body and hair,hair oil and serum,2200,1074,104.84,0.05
oral b toothbrush,hygiene and wellness,oral care,532,260,104.62,0.00
stayfree soft,hygiene and wellness,feminine hygiene,607,298,103.69,0.00
charcoal nose strip,beauty and grooming,face and lip care,1929,949,103.27,0.00
l'oreal,bath body and hair,shampoo and conditioner,535,264,102.65,0.00
period box,hygiene and wellness,feminine hygiene,3074,1519,102.37,0.07
nua disposable pads,hygiene and wellness,feminine hygiene,713,353,101.98,0.00
aloe vera,beauty and grooming,face and lip care,27897,13864,101.22,0.01
victor tongue,hygiene and wellness,oral care,1603,797,101.13,0.00
razor single blade,beauty and grooming,hair removal,508,254,100.00,0.00
whistle blower,hygiene and wellness,women's safety,582,292,99.32,0.52
dermatouch soaps,bath body and hair,soap,810,408,98.53,0.00
soap nuts,bath body and hair,shampoo and conditioner,514,259,98.46,0.00
durex air condom,hygiene and wellness,sexual wellness,885,446,98.43,0.00
pears refill,bath body and hair,shower gel,594,300,98.00,0.00
dove dandruff,bath body and hair,shampoo and conditioner,2002,1016,97.05,0.00
mehendi,beauty and grooming,hair colour,15280,7760,96.91,0.05
l'oreal paris concealer,makeup,face makeup,635,323,96.59,0.00
cera ve cleanser,beauty and grooming,face makeup,1196,611,95.74,0.00
color naturals,beauty and grooming,hair colour,554,284,95.07,0.00
be bodywise foot,hygiene and wellness,basic pharma,3260,1674,94.74,0.00
mens deodorant,bath body and hair,"perfumes, deos and talc",644,331,94.56,0.16
neha herbal mehandi,beauty and grooming,alta,1924,990,94.34,0.00
berry bright sunscreen,bath body and hair,face cream,528,273,93.41,0.00
nua xxxl,hygiene and wellness,feminine hygiene,1551,802,93.39,0.06
period underwear,hygiene and wellness,feminine hygiene,692,358,93.30,0.00
plush sanitary pads,hygiene and wellness,feminine hygiene,2447,1268,92.98,0.00
durex extra time condoms,hygiene and wellness,sexual wellness,1661,861,92.92,0.00
sebamed soaps,bath body and hair,soap,1180,613,92.50,0.00
exfoliating foot mask,hygiene and wellness,basic pharma,716,372,92.47,0.00
oxylife face bleach,beauty and grooming,face and lip care,553,288,92.01,0.00
leezu's,hygiene and wellness,sexual wellness,728,382,90.58,0.00
aroma magic,bath body and hair,face wash and scrub,3035,1603,89.33,0.00
dabur vatika oil,bath body and hair,hair oil and serum,978,518,88.80,0.00
whisper sanitary panties,hygiene and wellness,feminine hygiene,535,284,88.38,0.00
nose pore strip,beauty and grooming,face and lip care,613,326,88.04,0.00
mehandi cone,makeup,makeup brushes and tools,1694,902,87.80,0.00
fusion razor,beauty and grooming,shaving needs,1713,913,87.62,0.00
cinthol body,bath body and hair,shower gel,1075,575,86.96,0.00
deconstruct moisture,bath body and hair,face cream,2079,1114,86.62,0.00
garnier for men,bath body and hair,face wash and scrub,1074,576,86.46,0.00
the derma co face wash,bath body and hair,face wash and scrub,2460,1324,85.80,0.00
mens face wash,bath body and hair,face wash and scrub,2482,1339,85.36,0.00
shaving men,beauty and grooming,shaving needs,847,457,85.34,0.00
anti-acne,bath body and hair,face wash and scrub,574,310,85.16,0.00
cherry lube,hygiene and wellness,sexual wellness,1669,903,84.83,0.12
skore not,hygiene and wellness,sexual wellness,829,450,84.22,0.00
prega news kits,hygiene and wellness,basic pharma,700,380,84.21,0.00
reginald men sunscreen,bath body and hair,face cream,512,278,84.17,0.00
sebamed dandruff,bath body and hair,shampoo and conditioner,3169,1728,83.39,0.00
sunscreen spf 50,bath body and hair,face cream,858,468,83.33,0.00
strobe highlighter,makeup,face makeup,629,344,82.85,0.00
friends diaper,hygiene and wellness,basic pharma,3140,1722,82.35,0.00
creamy lipstick,makeup,lip makeup,2465,1353,82.19,0.04
streax insta,beauty and grooming,hair colour,827,456,81.36,0.00
ghar face wash,bath body and hair,face wash and scrub,1414,780,81.28,0.00
pond's glow,bath body and hair,face wash and scrub,847,469,80.60,0.00
cinthol bath,bath body and hair,shower gel,886,492,80.08,0.11
bare anatomy spray,bath body and hair,hair oil and serum,1588,882,80.05,0.00
durex extra time,hygiene and wellness,sexual wellness,1125,625,80.00,0.00
niine pad,hygiene and wellness,feminine hygiene,829,462,79.44,0.00
bioderma beauty,beauty and grooming,face cream,1082,603,79.44,0.00
livon serums,bath body and hair,hair oil and serum,4965,2769,79.31,0.00
old spice shave,beauty and grooming,shaving needs,772,431,79.12,0.00
face care,beauty and grooming,face and lip care,2726,1523,78.99,0.00
reginald sunscreen,bath body and hair,face cream,531,297,78.79,0.00
savlon liquid,hygiene and wellness,wound care and pain relief,1259,705,78.58,0.00
beardo face,bath body and hair,face wash and scrub,924,518,78.38,0.00
pain relif,hygiene and wellness,wound care and pain relief,504,283,78.09,1.59
deodorant men,bath body and hair,"perfumes, deos and talc",2400,1349,77.91,0.00
dabur vatika hair oil,bath body and hair,hair oil and serum,580,327,77.37,0.17
yardley talc,bath body and hair,"perfumes, deos and talc",682,385,77.14,0.00
arata hair,bath body and hair,mens grooming,1122,634,76.97,0.00
sensodyne soft,hygiene and wellness,oral care,925,523,76.86,0.00
mehendi powder,beauty and grooming,hair colour,1089,616,76.79,0.09
dabur almond oil,bath body and hair,hair oil and serum,2706,1533,76.52,0.00
sex toy for men,hygiene and wellness,sexual wellness,563,319,76.49,0.00
zandu pain,hygiene and wellness,wound care and pain relief,594,337,76.26,0.00
aqualogica pa+++,bath body and hair,face cream,1458,829,75.87,0.00
oil serum,bath body and hair,hair oil and serum,1641,934,75.70,0.00
long lasting,hygiene and wellness,sexual wellness,935,533,75.42,0.32
glycolic gloss,bath body and hair,shampoo and conditioner,954,544,75.37,0.00
alife,bath body and hair,soap,45677,26048,75.36,0.01
shavers,beauty and grooming,personal care appliances,1617,929,74.06,0.00
night pad,hygiene and wellness,feminine hygiene,833,479,73.90,0.00
lifree adult diaper,hygiene and wellness,basic pharma,593,341,73.90,0.00
manual razor,beauty and grooming,shaving needs,638,367,73.84,0.00
dabur syrup,hygiene and wellness,basic pharma,518,298,73.83,0.00
whisper pad,hygiene and wellness,feminine hygiene,16322,9425,73.18,0.07
gillete blade,beauty and grooming,shaving needs,734,424,73.11,0.00
lip stick,makeup,lip makeup,4967,2878,72.59,0.00
episoft cream,bath body and hair,face cream,594,345,72.17,0.00
neem toothpaste,hygiene and wellness,oral care,544,318,71.07,0.00
colgate sensitive toothpaste,hygiene and wellness,oral care,1388,812,70.94,0.00
sofy women,hygiene and wellness,feminine hygiene,1739,1018,70.83,0.00
foxtale masks,beauty and grooming,face and lip care,2933,1718,70.72,0.00
mars nail polish,makeup,nail paints and accessories,628,368,70.65,0.16
natural soap,bath body and hair,soap,1554,912,70.39,0.00
painout,hygiene and wellness,oral care,623,366,70.22,0.32
refill handwash,hygiene and wellness,hand wash and sanitizer,14949,8787,70.13,0.01
vilvah milk drops,beauty and grooming,face and lip care,624,367,70.03,0.00
ajay toothbrush,hygiene and wellness,oral care,547,322,69.88,0.00
bellavita soap,bath body and hair,soap,1010,595,69.75,0.00
indica hair color,beauty and grooming,hair colour,1694,998,69.74,0.00
silicone scrubber,bath body and hair,face wash and scrub,2319,1367,69.64,0.00
swiss beauty blush,makeup,face makeup,1672,988,69.23,0.00
biolage serums,bath body and hair,hair oil and serum,1120,663,68.93,0.00
revlon colours,beauty and grooming,hair colour,741,439,68.79,0.00
sanfe tan,bath body and hair,face cream,626,371,68.73,0.00
pilgrim oil,bath body and hair,hair oil and serum,1463,868,68.55,0.00
suncream,bath body and hair,face cream,4319,2569,68.12,0.00
jo soaps,bath body and hair,soap,1027,611,68.09,0.00
beardo de tan face wash,bath body and hair,face wash and scrub,549,327,67.89,0.00
neha mehandi cone,makeup,makeup brushes and tools,883,526,67.87,0.00
wax beans,beauty and grooming,hair removal,569,339,67.85,0.00
amrutanjan comfy pad,hygiene and wellness,feminine hygiene,595,355,67.61,0.00
oxylife bleach,beauty and grooming,face and lip care,4485,2677,67.54,0.02
plush panties,hygiene and wellness,feminine hygiene,3236,1932,67.49,0.00
sunscreen gel,bath body and hair,face cream,7757,4632,67.47,0.00
amrutanjan strong,hygiene and wellness,wound care and pain relief,561,335,67.46,0.00
closeup purple toothpaste,hygiene and wellness,oral care,998,596,67.45,0.00
himalaya aloe vera,beauty and grooming,face and lip care,602,360,67.22,0.00
cartridge blades,beauty and grooming,shaving needs,533,319,67.08,0.00
beardo detan,bath body and hair,face wash and scrub,622,373,66.76,0.00
mehndi,beauty and grooming,hair colour,2280,1368,66.67,0.04
men body wash,bath body and hair,shower gel,1947,1169,66.55,0.00
skore condoms,hygiene and wellness,sexual wellness,3619,2174,66.47,0.06
vilvah serums,beauty and grooming,face and lip care,1944,1168,66.44,0.00
uv doux sunscreen,beauty and grooming,face cream,1633,982,66.29,0.06
ceramide lip balm,beauty and grooming,face and lip care,543,327,66.06,0.00
epic condom,hygiene and wellness,sexual wellness,1288,777,65.77,0.39
rosemary water spray,bath body and hair,shampoo and conditioner,1391,840,65.60,0.00
niine sanitary napkins,hygiene and wellness,feminine hygiene,997,603,65.34,0.00
dead skin remover,bath body and hair,makeup brushes and tools,686,415,65.30,0.00
fiama pack,bath body and hair,soap,798,483,65.22,0.00
under eye patch,beauty and grooming,eye care,2819,1707,65.14,0.00
clayco scrubs,bath body and hair,face wash and scrub,693,420,65.00,0.00
stayfree sanitary pads,hygiene and wellness,feminine hygiene,1973,1196,64.97,0.05
phd serum,beauty and grooming,face and lip care,531,322,64.91,1.51
stayfree night,hygiene and wellness,feminine hygiene,6922,4198,64.89,0.00
condom durex,hygiene and wellness,sexual wellness,877,532,64.85,0.00
rexona deodorant,bath body and hair,"perfumes, deos and talc",927,563,64.65,0.00
etude tint,makeup,lip makeup,1166,709,64.46,0.00
moisturising gel,bath body and hair,face cream,4729,2879,64.26,0.00
stick-on nails,makeup,nail paints and accessories,4176,2545,64.09,0.00
lux shower,bath body and hair,shower gel,2151,1313,63.82,0.00
l'oreal paris l'oreal glycolic shampoo,bath body and hair,shampoo and conditioner,1325,810,63.58,0.08
foxtale face sunscreen,bath body and hair,face cream,520,318,63.52,0.19
pilgrim serum,beauty and grooming,face and lip care,33048,20221,63.43,0.02
men shower gel,bath body and hair,shower gel,1027,629,63.28,0.00
herbal colour,beauty and grooming,hair colour,608,373,63.00,0.00
conscious chemist sunscreen,bath body and hair,face cream,854,524,62.98,0.00
stayfree xxxl,hygiene and wellness,feminine hygiene,1510,929,62.54,0.00
gillette mach3 razor,beauty and grooming,shaving needs,1322,815,62.21,0.00
cerave face wash,beauty and grooming,face makeup,1545,954,61.95,0.06
small body wash,bath body and hair,shower gel,661,409,61.61,0.15
hard toothbrush,hygiene and wellness,oral care,976,604,61.59,0.00
candylicious lip gloss,makeup,lip makeup,1409,872,61.58,0.00
cetaphil gentle skin cleanser face wash,bath body and hair,face wash and scrub,517,320,61.56,0.00
colgate sensitive toothbrush,hygiene and wellness,oral care,1087,673,61.52,0.00
panties pad,hygiene and wellness,feminine hygiene,772,478,61.51,0.00
sotrue,beauty and grooming,face makeup,1494,926,61.34,0.00
dettol foam,hygiene and wellness,hand wash and sanitizer,1490,924,61.26,0.00
brush tooth,hygiene and wellness,oral care,1598,991,61.25,0.00
bla bli blu,bath body and hair,"perfumes, deos and talc",2813,1745,61.20,1.21
swiss beauty beauty,makeup,lip makeup,2880,1790,60.89,0.00
sandal soap,bath body and hair,soap,19020,11835,60.71,0.02
lightweight lipstick,makeup,lip makeup,539,336,60.42,0.00
pond's talc,bath body and hair,"perfumes, deos and talc",675,421,60.33,0.00
wella professionals,bath body and hair,shampoo and conditioner,1777,1109,60.23,0.00
sensodyne piece,hygiene and wellness,oral care,1253,782,60.23,0.00
bioderma face,beauty and grooming,face wash and scrub,874,546,60.07,0.00
strawberry condom,hygiene and wellness,sexual wellness,1491,932,59.98,0.00
conscious chemist face,bath body and hair,face cream,603,377,59.95,0.00
whispers,hygiene and wellness,feminine hygiene,15671,9799,59.92,0.02
ras luxury skincare,beauty and grooming,gift packs,502,314,59.87,0.00
biolage dandruff,bath body and hair,shampoo and conditioner,834,522,59.77,0.00
liquid sindur,makeup,face makeup,2082,1305,59.54,0.00
mac lipstick,makeup,lip makeup,1162,729,59.40,0.00
whisper ultra nights,hygiene and wellness,feminine hygiene,1613,1012,59.39,0.06
preganews,hygiene and wellness,basic pharma,3270,2052,59.36,0.21
fresh aloevera,beauty and grooming,face and lip care,792,497,59.36,0.00
ribbed condom,hygiene and wellness,sexual wellness,844,530,59.25,0.00
anti-dandruff,bath body and hair,shampoo and conditioner,746,469,59.06,0.00
l'oreal glycolic shampoo,bath body and hair,shampoo and conditioner,1033,651,58.68,0.10
whisper liner,hygiene and wellness,feminine hygiene,3835,2417,58.67,0.03
biolage shampoo,bath body and hair,shampoo and conditioner,4270,2696,58.38,0.02
pilgrim face wash,bath body and hair,face wash and scrub,2865,1809,58.37,0.00
relief spray,hygiene and wellness,wound care and pain relief,1389,878,58.20,0.00
thin condom,hygiene and wellness,sexual wellness,4024,2544,58.18,0.02
flaxseed gel,beauty and grooming,face and lip care,1939,1228,57.90,0.05
wottagirl perfume,bath body and hair,"perfumes, deos and talc",783,496,57.86,0.00
