ITEM_ID,ITEM_NAME,BRAND,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,COMPANY,SUPPLY_TYPE,SEGMENT,TAX_RATE
146707,Hi Life Flow Easy Organic Period Pads 280mm With Honeycomb Leaklock Pack Of 8 (With Pouch),Hi Life,Hygiene And Wellness,Feminine Hygiene,Sanitary Pads,Hi Life Products Pvt Ltd,WH - Ambient,KnS,0
926914,"Maybelline New York Fit Me Bb Nude Glow Bb Cream, Spf 50 + 24h Hydration - 40",Maybelline New York,Makeup,Face Makeup,Foundation,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
623822,"Maybelline New York Fit Me Bb Nude Glow Bb Cream, Spf 50 + 24h Hydration - 55",Maybelline New York,Makeup,Face Makeup,Foundation,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
666554,"Maybelline New York Fit Me Bb Nude Glow Bb Cream, Spf 50 + 24h Hydration - 45",Maybelline New York,Makeup,Face Makeup,Foundation,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
821778,"Maybelline New York Fit Me Bb Nude Glow Bb Cream, Spf 50 + 24h Hydration - 20",Maybelline New York,Makeup,Face Makeup,Foundation,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
746555,Hi Life Makeup Remover Wet Wipes With Green Tea & Calendula Extract,Hi Life,Makeup,Face Makeup,Makeup Remover,Hi Life Products Pvt Ltd,WH - Ambient,KnS,5
538166,Maybelline New York Festive Lip Gift Set,Maybelline New York,Makeup,Lip Makeup,Lipsticks,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
869570,"Mars Glow Grats Makeup Kit - Kajal,Mascara,Lipstick,Lip Liner,Nail Polish & Free Wipes",Mars,Makeup,Gift Set,Makeup Kit,Mars Cosmetics Pvt. Ltd.,WH - Ambient,KnS,18
462641,"Blue Heaven Cookie & Crush Matte Lipstick For Women, Long Lasting Lipstick, Enriched With Cocoa Butter & Rosehip Oil, Softening And Nourishing Lipstick - Chocochip Need, 3.4g",Blue Heaven,Makeup,Lip Makeup,Lipsticks,Esme Consumer Pvt. Ltd.,WH - Ambient,KnS,18
724255,The Body Shop Cupid Approved Gift Set,The Body Shop,Beauty And Grooming,Gift Packs,Personal Care Gift,The Body Shop,WH - Ambient,KnS,18
662035,The Body Shop Berry Loving Gift Set,The Body Shop,Beauty And Grooming,Gift Packs,Personal Care Gift,The Body Shop,WH - Ambient,KnS,18
511224,"L'oréal Paris Casting Creme Gloss With Glycolic Gloss Complex , 500 Medium Brown",L'oreal Paris,Beauty And Grooming,Hair Colour,Creme Hair Colour,L'oreal India Pvt Ltd,WH - Ambient,KnS,5
737188,Chemist At Play 1.5% Hyaluronic Acid Face Serum | Hydrates & Plumps Skin,Chemist At Play,Beauty And Grooming,Face And Lip Care,Face Care,Onesto Labs Private Limited,WH - Ambient,KnS,5
180363,Chemist At Play 1.5% Hyaluronic Acid Face Serum | Hydrates & Plumps Skin,Chemist At Play,Beauty And Grooming,Face And Lip Care,Face Care,Onesto Labs Private Limited,WH - Ambient,KnS,5
703629,Myorl-Care Mytcleaner – Single Handed Premium Stainless Steel Tongue Cleaner,Myorl-Care,Hygiene And Wellness,Oral Care,Floss And Tongue Cleaner,Myorl-Care Private Limited,WH - Ambient,KnS,18
935263,Ferns N Petals Durex With Dry Flower Bouquet,Ferns N Petals,Hygiene And Wellness,Sexual Wellness,Condoms,Fnp E Retail Pvt Ltd,WH - Ambient,KnS,0
216091,"Karein Overnight Adult Diaper Pants, Extra Large",Karein,Hygiene And Wellness,Basic Pharma,Adult Diaper,Universal Corporation Limited,WH - Ambient,KnS,5
787724,"Karein Premium Adult Diaper Pants, Extra Large",Karein,Hygiene And Wellness,Basic Pharma,Adult Diaper,Universal Corporation Limited,WH - Ambient,KnS,5
771531,"Karein Overnight Adult Diaper Pants, Large",Karein,Hygiene And Wellness,Basic Pharma,Adult Diaper,Universal Corporation Limited,WH - Ambient,KnS,5
568128,"Karein Premium Adult Diaper Pants, Medium",Karein,Hygiene And Wellness,Basic Pharma,Adult Diaper,Universal Corporation Limited,WH - Ambient,KnS,5
654820,"Karein Premium Adult Diaper Pants, Large",Karein,Hygiene And Wellness,Basic Pharma,Adult Diaper,Universal Corporation Limited,WH - Ambient,KnS,5
307154,"Karein Overnight Adult Diaper Pants, Medium",Karein,Hygiene And Wellness,Basic Pharma,Adult Diaper,Universal Corporation Limited,WH - Ambient,KnS,5
264951,"Myorl-Care  Kit (3-Sided Toothbrush, Floss Picks, Tongue Cleaner, Toothpicks)",Myorl-Care,Hygiene And Wellness,Oral Care,Toothbrush,Myorl-Care Private Limited,WH - Ambient,KnS,5
953336,Myorl-Care My1brush | 3 Sided Soft Insta-Clean Toothbrush For Adults |Gives 100% Teeth Cleaning,Myorl-Care,Hygiene And Wellness,Oral Care,Toothbrush,Myorl-Care Private Limited,WH - Ambient,KnS,5
694963,Ajmal Royal Touch Edp Perfume With Jewellery Giftset For Women,Ajmal,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,Ajmal & Sons.,WH - Ambient,KnS,5
900184,Carmesi Pimple Patch | 36 Hydrocolloid Pimple Patches | Reduces Pimples | All Skin Types,Carmesi,Bath Body And Hair,Face And Lip Care,Face Care,Manash Lifestyle Pvt Ltd,WH - Ambient,KnS,5
534730,Moody Love Wrapped Gift Set,Moody,Bath Body And Hair,Gift Packs,Personal Care Gift,Ras Beauty Private Limited,WH - Ambient,KnS,18
607080,Ras Luxury Skincare Complete Radiance Gift Set,Ras Luxury Skincare,Bath Body And Hair,Gift Packs,Personal Care Gift,Ras Beauty Private Limited,WH - Ambient,KnS,18
552124,Moody Berry In Love Kit,Moody,Bath Body And Hair,Gift Packs,Personal Care Gift,Ras Beauty Private Limited,WH - Ambient,KnS,18
509620,The Man Company Signature Perfume Gift Pack,The Man Company,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,The Man Company,WH - Ambient,KnS,18
461980,Adidas Vibes Energy Drive Gift Set (Eau De Parfum+ Shower Gel),Adidas,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
141088,Adidas Uefa Champions League Goal Gift Set (Eau De Toilette+ Shower Gel),Adidas,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
602361,Manetain Volume Gel Hair Loving,Manetain,Bath Body And Hair,Hair Oil And Serum,Hair Gel,Manetain Store Private Limited,WH - Ambient,KnS,18
831046,Manetain Hard Hold Gel Hair Loving,Manetain,Bath Body And Hair,Hair Oil And Serum,Hair Gel,Manetain Store Private Limited,WH - Ambient,KnS,18
907411,Proven Honest Derma /Phd/ 10% Niacinamide Spot Correcting Serum,Proven Honest Derma,Beauty And Grooming,Face And Lip Care,Face Care,Heavenly Secrets Pvt. Ltd,WH - Ambient,KnS,18
709746,Proven Honest Derma /Phd/ 0.3% Pure Retinol Face Serum,Proven Honest Derma,Beauty And Grooming,Face And Lip Care,Face Care,Heavenly Secrets Pvt. Ltd,WH - Ambient,KnS,18
785155,Proven Honest Derma /Phd/ 2% Alpha Arbutin Depigmentation Serum,Proven Honest Derma,Beauty And Grooming,Face And Lip Care,Face Care,Heavenly Secrets Pvt. Ltd,WH - Ambient,KnS,18
218073,"Plush Bikini Razor | No Cuts, No Bumps Promise - 2pack",Plush,Beauty And Grooming,Hair Removal,Razor,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,18
293931,Plush Eyebrow Razor Kit - 1 Pack,Plush,Beauty And Grooming,Hair Removal,Razor,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
793414,Plush 5 Blade Body Razor For Women | Aloe & Vit E Strip | Free Cartridge - 1piece,Plush,Beauty And Grooming,Hair Removal,Razor,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
819386,Plush Flawless Face & Eyebrow Razor - 1 Pack,Plush,Beauty And Grooming,Hair Removal,Razor,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
784350,"Sanfe Shea Butter Body Razor For Women's Hair Removal, With New No Cut & Bumps Technology | Safe Titanium Blades | Comfortable Grip",Sanfe,Beauty And Grooming,Hair Removal,Razor,Redroomtechnology Private Limited,WH - Ambient,KnS,5
462494,"Sanfe Disposable Hair Removal Razor For Women Perfect For Legs, Arms & And Bikini Line Blade Shaving Razor With Aloevera Extract",Sanfe,Beauty And Grooming,Hair Removal,Razor,Redroomtechnology Private Limited,WH - Ambient,KnS,5
932261,"Plush Pregnancy Test Kit Basic At-Home 1 Step, 99% Accurate - 3pieces",Plush,Hygiene And Wellness,Basic Pharma,Pregnancy Test Kit,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
568221,"Plush Pregnancy Test Kit Midstream At-Home 1 Step, 99% Accurate - 1piece",Plush,Hygiene And Wellness,Basic Pharma,Pregnancy Test Kit,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
860867,"Plush Daily Panty Liner 100% Cotton, Large | Non Period Days | 30 Pieces",Plush,Hygiene And Wellness,Feminine Hygiene,Panties And Liners,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
122568,"Plush Pregnancy Test Kit Basic At-Home 1 Step, 99% Accurate - 1piece",Plush,Hygiene And Wellness,Basic Pharma,Pregnancy Test Kit,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
517061,"Plush Ova Track Ovulation Test Kit, 100% Accuracy - 4pieces",Plush,Hygiene And Wellness,Basic Pharma,Pregnancy Test Kit,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
654551,"Plush Pregnancy Test Kit Midstream At-Home 1 Step, 99% Accurate - 3pieces",Plush,Hygiene And Wellness,Basic Pharma,Pregnancy Test Kit,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
602506,Dr.Rashel Hyaluronic Acid Face Wash With Licorice Extract | Deep Cleansing & Purifying Face Wash For Men & Women,Dr.Rashel,Beauty And Grooming,Face Wash And Scrub,Face Wash,Pp Consumer Pvt. Ltd.,WH - Ambient,KnS,5
913295,Nooky Melt 2-In-1 Play Kit | Wave Women’s Massager + Mini Bites Intimacy Chocolate,Nooky,Hygiene And Wellness,Sexual Wellness,Sexual Enhancers,Urban Nutrition Private Limited,WH - Ambient,KnS,5
816875,Nooky Tease 2-In-1 Play Kit | Glide Men’s Stroker + Muzze Intimacy Mood Drink,Nooky,Hygiene And Wellness,Sexual Wellness,Sexual Enhancers,Urban Nutrition Private Limited,WH - Ambient,KnS,5
260725,Nooky Tempt 2-In-1 Play Kit | Keystone Butt Plug For Couples (Small) + Mini Bites Intimacy Chocolate,Nooky,Hygiene And Wellness,Sexual Wellness,Sexual Enhancers,Urban Nutrition Private Limited,WH - Ambient,KnS,5
389448,Leezu's Extremely Naughty Cards Adult Game,Leezu's,Hygiene And Wellness,Sexual Wellness,Sexual Wellness Kit,Little Bear Wellness Ventured Private Limited,WH - Ambient,KnS,5
120714,Green Milk Concepts Bestlin Liniment Joint Pains,Green Milk Concepts,Hygiene And Wellness,Wound Care And Pain Relief,Pain Relief,Satori Creatives Llp,WH - Ambient,KnS,5
242640,Green Milk Concepts Bestlin Liniment For Pains,Green Milk Concepts,Hygiene And Wellness,Wound Care And Pain Relief,Pain Relief,Satori Creatives Llp,WH - Ambient,KnS,5
875029,Leezu's Peache Stroker Personal Massager For Men,Leezu's,Hygiene And Wellness,Sexual Wellness,Sexual Enhancers,Little Bear Wellness Ventured Private Limited,WH - Ambient,KnS,5
194752,Asta Berry Vitamin C Facewash Scrub,Asta Berry,Beauty And Grooming,Face Wash And Scrub,Face Wash,Cipla Health Ltd,WH - Ambient,KnS,18
546879,Garnier Fresh & Bright Vitamin C Sorbet Moisturizer With Hyaluron And Niacinamide,Garnier,Beauty And Grooming,Beauty Accessories,Moisturising Cream,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
237332,"Garnier Fresh & Plump Niacinamide Sorbet Moisturizer With Peptides, Bha, Vitamin C",Garnier,Beauty And Grooming,Beauty Accessories,Moisturising Cream,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
825778,Garnier Fresh & Matte Salicylic Sorbet Moisturizer With Niacinamide And Vitamin C,Garnier,Beauty And Grooming,Beauty Accessories,Moisturising Cream,L'oreal India Pvt Ltd,WH - Ambient,KnS,18
508148,Carlton London Blush & Fern Edp Gift Set (Set Of 2),Carlton London,Beauty And Grooming,Gift Packs,Perfumes,Progressive Lifestyles Pvt Ltd,WH - Ambient,KnS,18
752689,Carlton London Body Mist Gift Set (Set Of 4),Carlton London,Beauty And Grooming,Gift Packs,Perfumes,Progressive Lifestyles Pvt Ltd,WH - Ambient,KnS,5
434598,Formen Joymax Chocolate Condoms,Formen,Hygiene And Wellness,Sexual Wellness,Condoms,Thors Health Pvt Ltd,WH - Ambient,KnS,0
393025,"Chosen Ceramide Lip Balm | Repairs Dry & Chapped Lips, Restores Barrier & Soothes Sensitivity",Chosen,Beauty And Grooming,Face And Lip Care,Lip Balm,Silphion Research Pvt. Ltd.,WH - Ambient,KnS,18
144001,"Chosen Balanced Foaming Facewash | Gentle, Hydrating Cleanser With Optimsm | For All Skin Types",Chosen,Beauty And Grooming,Face Wash And Scrub,Face Wash,Silphion Research Pvt. Ltd.,WH - Ambient,KnS,5
448229,"Sirona Maternity Pants | Leak-Free Postpartum Periods | Comfortable, Soft & Breathable | Size L-Xl | Pack Of 10",Sirona,Hygiene And Wellness,Feminine Hygiene,Period Panties,Sirona Hygiene Pvt. Ltd.,WH - Ambient,KnS,5
743428,Dot & Key Vitamin C + E 100% Mineral Sunscreen Spf 50+ Pa++++,Dot & Key,Bath Body And Hair,Face Cream,Sunscreen,Dot & Key Wellness Private Limited,WH - Ambient,KnS,18
623941,Gillette Venus Simply - Hair Removal Razor For Women - 1piece,Gillette,Beauty And Grooming,Hair Removal,Razor,Procter & Gamble,WH - Ambient,KnS,5
70250,Sebamed Everyday Shampoo,Sebamed,Bath Body And Hair,Shampoo And Conditioner,Shampoo,Usv Pvt. Ltd.,WH - Ambient,KnS,5
613096,Sebamed Anti-Hairloss Shampoo,Sebamed,Bath Body And Hair,Shampoo And Conditioner,Shampoo,Usv Pvt. Ltd.,WH - Ambient,KnS,5
627500,Sebamed Anti-Dandruff Shampoo,Sebamed,Bath Body And Hair,Shampoo And Conditioner,Shampoo,Usv Pvt. Ltd.,WH - Ambient,KnS,5
168859,"L’oréal Paris Glycolic Bright Matte Luminizing Cream, Instant Glow Booster, Fades Dark Spots",L'oreal Paris,Bath Body And Hair,Face Cream,Brightening Cream,L'oreal India Pvt Ltd,WH - Ambient,KnS,5
235681,The Derma Co 2% Niacinamide Oily Skin Cleanser,The Derma Co,Beauty And Grooming,Face Wash And Scrub,Face Wash,Honasa Consumer Pvt Ltd,WH - Ambient,KnS,5
647608,Furr By Pee Safe Patchouli Dew Hair Perfume,Furr By Pee Safe,Bath Body And Hair,Hair Oil And Serum,Hair Mist,Redcliffe Hygiene Private Limited,WH - Ambient,KnS,5
717106,Furr By Pee Safe Instant Pedicure Spray,Furr By Pee Safe,Makeup,Makeup Brushes And Tools,Pedicure Set,Redcliffe Hygiene Private Limited,WH - Ambient,KnS,5
165348,Sotrue Vanity Glow Digger Gold Body Glow Spray With Spf 50 Pa+++,Sotrue,Bath Body And Hair,Body Lotion,Body Oils,Alphanso Products Private Limited,WH - Ambient,KnS,5
420876,Paradyes Pure Crème Care No Ammonia Hair Color Black Currant 1.2,Paradyes,Beauty And Grooming,Hair Colour,Hair Colour,Yushka Cosmetics Llp,WH - Ambient,KnS,5
657683,Paradyes Pure Crème Care No Ammonia Hair Color Classic Cappuccino 4.0,Paradyes,Beauty And Grooming,Hair Colour,Hair Colour,Yushka Cosmetics Llp,WH - Ambient,KnS,5
176896,Cetaphil Healthy Renew Micellar Cleanser,Cetaphil,Beauty And Grooming,Face Makeup,Cleansers And Toners,Galderma India Pvt Ltd,WH - Ambient,KnS,5
537720,Mannlich Premium Men’s Personal Care Gift Pack Curated For Everyday Grooming And Hygiene,Mannlich,Beauty And Grooming,Gift Packs,Gift Packs,Kudev Private Limited,WH - Ambient,KnS,5
107536,Giordano Spring Breeze Gift Set (Eau De Parfum + Body Mist),Giordano,Beauty And Grooming,Gift Packs,Perfumes,Primespot Retail Pvt Ltd,WH - Ambient,KnS,5
407326,Nat Habit Natural Indigo Powder (Black),Nat Habit,Beauty And Grooming,Hair Colour,Herbal Hair Colour,Naturohabit Pvt. Ltd,WH - Ambient,KnS,5
992332,Lovechild Masaba Lovechild Masaba Makeup Must-Haves Gift Set,Lovechild,Makeup,Gift Packs,Makeup Kits,House Of Masaba Lifetsyle Private Limited,WH - Ambient,KnS,18
536090,Kiro Slickstick Pocket Long Stay Velvet Matte Lipstick Kit,Kiro,Makeup,Lip Makeup,Lipstick And Gloss,Svah Cosmetics Pvt. Ltd.,WH - Ambient,KnS,18
912021,"Dove Advanced Care Invisible Dry Deodorant, Alcohol Free And Gentle On Skin",Dove,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Unilever International,WH - Ambient,KnS,18
202608,"Dove Advanced Care Invisible Dry Deodorant, Alcohol Free And Gentle On Skin",Dove,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Unilever International,WH - Ambient,KnS,18
547390,"Dove Go Fresh Cucumber & Green Tea Antiperspirant Deodorant For Women, For Soft & Fresh Skin",Dove,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Unilever International,WH - Ambient,KnS,18
377181,"Dove Go Fresh Cucumber & Green Tea Antiperspirant Deodorant For Women, For Soft & Fresh Skin",Dove,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Unilever International,WH - Ambient,KnS,18
168590,"Dove Advanced Care Original Deodorant, With Triple Action Moisturising Technology",Dove,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Unilever International,WH - Ambient,KnS,18
980319,"Havintha Natural Multani Mitti Powder For Face, Skin And Hair| Deep Cleansing And Oil Control",Havintha,Beauty And Grooming,Face Wash And Scrub,Face Wash,Udeep Organic,WH - Ambient,KnS,5
591870,Revlon Touch & Glow Moisturising Makeup Foundation - Rich Mist,Revlon,Makeup,Face Makeup,Foundation,Modi Mundipharma Private Limited,WH - Ambient,KnS,5
852336,Cuticolor Permanent Hair Color Cream|Suitable For Sensitive Skin (Dark Brown),Cuticolor,Beauty And Grooming,Hair Colour,Hair Colour,Zydus Wellness Products Ltd.,WH - Ambient,KnS,5
583613,Cuticolor Permanent Hair Color Cream|Suitable For Sensitive Skin (Black),Cuticolor,Beauty And Grooming,Hair Colour,Hair Colour,Zydus Wellness Products Ltd.,WH - Ambient,KnS,5
435138,"Femisafe Intimate Wash For Women | Ph Balanced, Herbal Hygiene Wash With Tea Tree, Aloe Vera & Neem | Prevents Odour, Dryness & Irritation | Sls & Paraben Free",Femisafe,Hygiene And Wellness,Feminine Hygiene,Intimate Wipes And Wash,Femisafe India Pvt Ltd,WH - Ambient,KnS,5
531183,Hi Life Kn95 Protective Face Mask With Double Meltblown Filter & Pm 2.5 Particle Filter,Hi Life,Hygiene And Wellness,Basic Pharma,Pollution Face Mask,Hi Life Products Pvt Ltd,WH - Ambient,KnS,5
656081,Hi Life Virocare Alcohol Free Hand Sanitizer,Hi Life,Hygiene And Wellness,Hand Wash And Sanitizer,Sanitizer,Hi Life Products Pvt Ltd,WH - Ambient,KnS,5
275298,"Kiro Airy Matte Mini Liquid Lipstick Gift Set - 01 Nutmeg Nude, Cinnamon Nude & Sandy Rose",Kiro,Makeup,Lip Makeup,Lipsticks,Svah Cosmetics Pvt. Ltd.,WH - Ambient,KnS,18
985498,"Kiro Airy Matte Mini Liquid Lipstick Gift Set - 02 nude Espresso, Barely Brown & maple Sugar",Kiro,Makeup,Lip Makeup,Lipsticks,Svah Cosmetics Pvt. Ltd.,WH - Ambient,KnS,18
532450,"Deconstruct 10% Vitamin C Serum | Brightens Dull Skin, Evens Tone, Non-Irritating",Deconstruct,Beauty And Grooming,Face And Lip Care,Face Care,Baypure Lifestyle Private Limited,WH - Ambient,KnS,5
260424,One Thing Galactomyces Ferment Filtrate,One Thing,Beauty And Grooming,Face And Lip Care,Face Care,Snackstar,WH - Cold,KnS,5
288774,"Faces Canada Peptide Gloss Lip Balm - Bloom,  | Deeply Nourishing | Lightweight",Faces Canada,Beauty And Grooming,Face And Lip Care,Lip Balm,Faces Cosmetics India Pvt. Ltd,WH - Ambient,KnS,18
582621,"Faces Canada Peptide Gloss Lip Balm - Mocha Melt,  | Deeply Nourishing |Lightweight",Faces Canada,Beauty And Grooming,Face And Lip Care,Lip Balm,Faces Cosmetics India Pvt. Ltd,WH - Ambient,KnS,18
601205,"Faces Canada Peptide Gloss Lip Balm - Cherry Charm,  | Deeply Nourishing |Lightweight",Faces Canada,Beauty And Grooming,Face And Lip Care,Lip Balm,Faces Cosmetics India Pvt. Ltd,WH - Ambient,KnS,18
287181,"Innisfree Volcanic Clusters Bha Foaming Daily Cleanser For Excess Oil, Clogged Pores, Oily Skin",Innisfree,Beauty And Grooming,Face Makeup,Cleansers And Toners,Innisfree Cosmetics India Private Limited,WH - Ambient,KnS,18
794026,Love Earth Cream Pop Blush,Love Earth,Beauty And Grooming,Face Makeup,Blush And Highlighter,Love Earth Pvt. Ltd.,WH - Ambient,KnS,5
646714,Pure Tatva  Hydraboost Cleansing Foam,Pure Tatva,Bath Body And Hair,Face Wash And Scrub,Face Wash,Puretatva Organics Private Limited,WH - Ambient,KnS,18
540825,Pure Tatva  Anti Pollution Face Wash,Pure Tatva,Bath Body And Hair,Face Wash And Scrub,Face Wash,Puretatva Organics Private Limited,WH - Ambient,KnS,18
128063,Cetaphil Moisturising Lotion,Cetaphil,Bath Body And Hair,Body Lotion,Moisturising Lotion,Galderma India Pvt Ltd,WH - Ambient,KnS,18
573828,Pure Tatva  Neem Turmeric Antiseptic Cream,Pure Tatva,Bath Body And Hair,Face Cream,Antiseptic Cream,Puretatva Organics Private Limited,WH - Ambient,KnS,5
759386,Manetain Moisturising Shampoo Hair Loving,Manetain,Bath Body And Hair,Shampoo And Conditioner,Shampoo,Manetain Store Private Limited,WH - Ambient,KnS,5
117869,Manetain Curl Cream Hair Loving,Manetain,Bath Body And Hair,Hair Oil And Serum,Curly And Wavy Hair,Manetain Store Private Limited,WH - Ambient,KnS,18
727401,"Spinz Bb Face Powder-Natural Beige | Instant Glow, Covers Blemishes, Smooth Matte Finish",Spinz,Bath Body And Hair,"Perfumes, Deos And Talc",Talcum Powder,Cavinkare Private Ltd,WH - Ambient,KnS,5
431114,Chemist At Play Tri-Active Underarm Roll On | Slows Down Hair Growth,Chemist At Play,Bath Body And Hair,"Perfumes, Deos And Talc",Roll Ons,Onesto Labs Private Limited,WH - Ambient,KnS,18
422686,Adidas Ice Dive 48h All Over Deo Body Spray,Adidas,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
812336,Adidas Dynamic Pulse 48h All Over Deo Body Spray,Adidas,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
791959,Adidas Pure Game 48h All Over Deo Body Spray,Adidas,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
566907,Adidas Victory League 48h All Over Deo Body Spray,Adidas,Bath Body And Hair,"Perfumes, Deos And Talc",Deos,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
480506,Giordano Neon Nights Eau De Parfum + Deodorant Spray Men's Gift Set,Giordano,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
307132,Giordano Wild Safari Eau De Parfum + Deodorant Spray Men's Gift Set,Giordano,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,Primespot Retail Pvt Ltd,WH - Ambient,KnS,18
988019,Mamaearth Into The Vanilla Bliss Eau De Parfum For Women,Mamaearth,Bath Body And Hair,"Perfumes, Deos And Talc",Perfumes,Honasa Consumer Pvt Ltd,WH - Ambient,KnS,5
363041,Thewellnessshop Herbal Bikini Area Painless Hair Removal Wax Powder For Women In 10 Minutes,Thewellnessshop,Beauty And Grooming,Hair Removal,Hair Removal,Urbaine Consumer India Private Limited,WH - Ambient,KnS,18
396956,Akind No Shade Sunscreen Primer Spf 50 Pa++++ Mini,Akind,Beauty And Grooming,Body Lotion,Sunscreen,Reliance Retail Limited,WH - Ambient,KnS,5
768148,Akind Bounce Back Soothing And Purifying Toner Mini,Akind,Beauty And Grooming,Face Makeup,Cleansers And Toners,Reliance Retail Limited,WH - Ambient,KnS,5
792915,"Cureskin Spf 50 Aqua Sunscreen With Advanced Uv Filters | Broad Spectrum Sun, Uva, Uvb",Cureskin,Beauty And Grooming,Body Lotion,Sunscreen,Cure And Care Wellness Private Limited,WH - Ambient,KnS,18
309453,"Cureskin Lightening Lip Scrub For Men And Women | Lip Scrub For Dark Lips To Lighten Pink,",Cureskin,Beauty And Grooming,Face And Lip Care,Lip Scrubs,Cure And Care Wellness Private Limited,WH - Ambient,KnS,18
