SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,CURRENT_VOLUME,ZERO_RESULT_RATE,PREV_VOLUME,MOM_GROWTH_PCT
bare anatomy,bath body and hair,shampoo and conditioner,10754,0.01,55735,-80.71
mask,hygiene and wellness,basic pharma,10610,0.01,69423,-84.72
pregnancy test,hygiene and wellness,basic pharma,10484,0.07,53523,-80.41
facial kit,beauty and grooming,face and lip care,10191,0.00,35805,-71.54
loofah,beauty and grooming,beauty accessories,10109,0.00,49196,-79.45
lip gloss,makeup,lip makeup,9974,0.01,49909,-80.02
brush,hygiene and wellness,oral care,9918,0.01,50574,-80.39
dove,bath body and hair,soap,9743,0.03,46690,-79.13
sanitizer,hygiene and wellness,hand wash and sanitizer,9727,0.00,45939,-78.83
face razor,beauty and grooming,hair removal,9553,0.01,43274,-77.92
sofy,hygiene and wellness,feminine hygiene,9458,0.01,43455,-78.23
mouthwash,hygiene and wellness,oral care,9322,0.00,46029,-79.75
sensodyne toothpaste,hygiene and wellness,oral care,9177,0.00,35487,-74.14
castor oil,bath body and hair,hair oil and serum,9098,0.01,37022,-75.43
eyeliner,makeup,eye makeup,9094,0.01,42812,-78.76
lip liner,makeup,lip makeup,9069,0.00,41318,-78.05
chemist at play,bath body and hair,shower gel,9008,0.00,46130,-80.47
shower gel,bath body and hair,shower gel,8867,0.00,44868,-80.24
plum,bath body and hair,face cream,8540,0.02,51322,-83.36
facewash,bath body and hair,face wash and scrub,8529,0.01,42050,-79.72
roll on,bath body and hair,"perfumes, deos and talc",8400,0.01,42591,-80.28
nail paint,makeup,nail paints and accessories,8384,0.02,46848,-82.10
mysore soap,bath body and hair,soap,8255,0.02,43397,-80.98
boroline,bath body and hair,face cream,8209,0.62,50036,-83.59
hair mask,bath body and hair,shampoo and conditioner,8163,0.03,38861,-78.99
nail polish,makeup,nail paints and accessories,8145,0.01,40091,-79.68
aloe vera gel,beauty and grooming,face and lip care,8139,0.04,28701,-71.64
durex condom,hygiene and wellness,sexual wellness,8102,0.07,45303,-82.12
prega kit,hygiene and wellness,basic pharma,8067,0.00,41541,-80.58
cough syrup,hygiene and wellness,basic pharma,7967,0.01,34002,-76.57
razor for women,beauty and grooming,hair removal,7899,0.00,44070,-82.08
nivea,bath body and hair,body lotion,7730,0.03,50439,-84.67
aloe vera,beauty and grooming,face and lip care,7716,0.01,26827,-71.24
dove soap,bath body and hair,soap,7510,0.04,28289,-73.45
face scrub,bath body and hair,face wash and scrub,7252,0.04,33344,-78.25
minimalist,bath body and hair,face wash and scrub,7238,0.04,33580,-78.45
hand wash,hygiene and wellness,hand wash and sanitizer,7173,0.00,28895,-75.18
mascara,makeup,eye makeup,7166,0.00,34125,-79.00
body scrub,bath body and hair,shower gel,7156,0.00,30225,-76.32
sex toys,hygiene and wellness,sexual wellness,7145,0.03,37222,-80.80
rose water,beauty and grooming,shampoo and conditioner,7129,0.00,33726,-78.86
concealer,makeup,face makeup,6997,0.00,28793,-75.70
durex,hygiene and wellness,sexual wellness,6896,0.01,31903,-78.38
dove body wash,bath body and hair,shower gel,6755,0.00,27239,-75.20
nose strip,beauty and grooming,face and lip care,6686,0.03,34610,-80.68
nail polish remover,makeup,nail makeup,6655,0.00,29305,-77.29
nivea moisturizer,bath body and hair,face cream,6635,0.01,37853,-82.47
whisper ultra,hygiene and wellness,feminine hygiene,6626,0.04,26103,-74.62
razor for men,beauty and grooming,shaving needs,6567,0.01,34292,-80.85
cotton,makeup,makeup brushes and tools,6447,0.00,38356,-83.19
shoe polish,beauty and grooming,mens grooming,6384,0.03,24901,-74.36
veet,beauty and grooming,hair removal,6302,0.02,25888,-75.66
vaseline jelly,beauty and grooming,face and lip care,6301,0.00,41867,-84.95
face moisturizer,bath body and hair,face cream,6248,0.00,33147,-81.15
dot & key,bath body and hair,face cream,6234,0.09,29133,-78.60
mysore sandal soaps,bath body and hair,soap,6127,0.05,17756,-65.49
face serum,beauty and grooming,face and lip care,6115,0.00,29781,-79.47
hand sanitizer,hygiene and wellness,hand wash and sanitizer,6106,0.03,29956,-79.62
serum,beauty and grooming,face and lip care,6087,0.02,30796,-80.23
dettol soap,bath body and hair,soap,6087,0.00,23603,-74.21
pilgrim,beauty and grooming,face and lip care,6046,0.03,29267,-79.34
foundation,makeup,face makeup,5975,0.00,24150,-75.26
sheet mask,beauty and grooming,face and lip care,5974,0.02,28203,-78.82
lube,hygiene and wellness,sexual wellness,5921,0.00,31046,-80.93
santoor,bath body and hair,soap,5873,0.05,26254,-77.63
gift for men,bath body and hair,"perfumes, deos and talc",5829,0.02,44901,-87.02
almond oil,bath body and hair,hair oil and serum,5772,0.00,27464,-78.98
whisper pad,hygiene and wellness,feminine hygiene,5685,0.08,14427,-60.59
pilgrim shampoo,bath body and hair,shampoo and conditioner,5654,0.03,21861,-74.14
tresemme shampoo,bath body and hair,shampoo and conditioner,5635,0.02,25970,-78.30
pantyliners,hygiene and wellness,feminine hygiene,5626,0.03,2641,113.03
bandage,hygiene and wellness,wound care and pain relief,5583,0.00,24760,-77.45
bella vita,bath body and hair,"perfumes, deos and talc",5558,0.00,38525,-85.57
ghar soap,bath body and hair,soap,5546,0.02,22304,-75.13
cinthol soap,bath body and hair,soap,5533,0.00,22947,-75.89
himalaya face wash,bath body and hair,face wash and scrub,5518,0.04,23251,-76.27
foxtale,bath body and hair,face and lip care,5477,0.09,27982,-80.43
stayfree pads,hygiene and wellness,feminine hygiene,5448,0.05,19548,-72.13
anti dandruff,bath body and hair,shampoo and conditioner,5423,0.02,31075,-82.55
wax strips,beauty and grooming,hair removal,5409,0.05,24896,-78.27
band aid,hygiene and wellness,wound care and pain relief,5392,0.00,25497,-78.85
rosemary water,bath body and hair,hair oil and serum,5342,0.00,24451,-78.15
multani mitti,beauty and grooming,face and lip care,5331,0.04,20971,-74.58
volini,hygiene and wellness,wound care and pain relief,5308,0.29,23856,-77.75
pilgrim serum,beauty and grooming,face and lip care,5287,0.00,36698,-85.59
face cream,bath body and hair,face cream,5252,0.00,27489,-80.89
pond's moisture,bath body and hair,face cream,5237,0.05,13344,-60.75
parachute hair,bath body and hair,hair oil and serum,5185,0.02,23586,-78.02
fair and lovely,bath body and hair,face cream,5178,0.02,22326,-76.81
parachute coconut oil,bath body and hair,hair oil and serum,5137,0.00,14335,-64.16
lux soap,bath body and hair,soap,5134,0.02,20954,-75.50
nua pads,hygiene and wellness,feminine hygiene,5122,0.02,18795,-72.75
shaving cream,beauty and grooming,shaving needs,5070,0.00,25800,-80.35
cetaphil moisturiser,bath body and hair,body lotion,5060,0.00,33140,-84.73
sensodyne toothbrush,hygiene and wellness,oral care,5041,0.00,23453,-78.51
bellavita perfume,bath body and hair,"perfumes, deos and talc",5013,0.00,7461,-32.81
colgate toothpaste,hygiene and wellness,oral care,4999,0.00,19077,-73.80
colgate total,hygiene and wellness,oral care,4993,0.00,32404,-84.59
mehendi cones,makeup,makeup brushes and tools,4990,0.00,22443,-77.77
sofy pad,hygiene and wellness,feminine hygiene,4972,0.04,17863,-72.17
hair wax,beauty and grooming,mens grooming,4961,0.04,22161,-77.61
paradyes,beauty and grooming,hair colour,4916,0.02,25785,-80.93
hair removal,beauty and grooming,hair removal,4898,0.00,23572,-79.22
mehendi,beauty and grooming,hair colour,4889,0.00,14252,-65.70
l'oreal conditioner,bath body and hair,shampoo and conditioner,4872,0.06,22825,-78.65
blush,makeup,face makeup,4850,0.00,23787,-79.61
the derma co,bath body and hair,face wash and scrub,4845,0.04,22927,-78.87
dant kanti,hygiene and wellness,oral care,4844,0.02,23153,-79.08
santoor soap,bath body and hair,soap,4817,0.04,17809,-72.95
l'oreal paris,bath body and hair,shampoo and conditioner,4766,0.06,22304,-78.63
zandu balm,hygiene and wellness,wound care and pain relief,4746,0.02,20117,-76.41
tooth brush,hygiene and wellness,oral care,4709,0.02,19015,-75.24
whisper xl,hygiene and wellness,feminine hygiene,4680,0.02,24513,-80.91
handwash refill,hygiene and wellness,hand wash and sanitizer,4672,0.00,19246,-75.72
gillette,beauty and grooming,shaving needs,4646,0.00,17666,-73.70
spray bottles,makeup,makeup brushes and tools,4613,0.00,8029,-42.55
condoms,hygiene and wellness,sexual wellness,4598,0.08,27543,-83.31
nat habit,bath body and hair,shampoo and conditioner,4593,0.00,21353,-78.49
cotton pads,makeup,makeup brushes and tools,4591,0.04,22278,-79.39
stayfree xl,hygiene and wellness,feminine hygiene,4558,0.00,20489,-77.75
mars,makeup,milk chocolates,4514,0.06,23051,-80.42
perfume men,bath body and hair,"perfumes, deos and talc",4508,0.00,36549,-87.67
dot & key sunscreen,bath body and hair,face cream,4500,0.00,19385,-76.79
vaseline lip,beauty and grooming,face and lip care,4488,0.00,22752,-80.27
vitamin c,beauty and grooming,face and lip care,4440,0.00,25084,-82.30
simple wash,bath body and hair,face wash and scrub,4435,0.02,19906,-77.72
pee safe,hygiene and wellness,feminine hygiene,4425,0.09,21605,-79.52
powder,bath body and hair,"perfumes, deos and talc",4423,0.02,20076,-77.97
inhaler,hygiene and wellness,basic pharma,4413,0.02,28796,-84.67
whisper panties,hygiene and wellness,feminine hygiene,4403,0.00,21370,-79.40
medimix soap,bath body and hair,soap,4402,0.00,21232,-79.27
dove conditioner,bath body and hair,shampoo and conditioner,4397,0.04,19291,-77.21
sanfe,bath body and hair,face cream,4394,0.02,12932,-66.02
moov,hygiene and wellness,wound care and pain relief,4366,0.00,17346,-74.83
close up,hygiene and wellness,oral care,4343,0.00,9629,-54.90
sebamed,bath body and hair,shampoo and conditioner,4338,5.33,20683,-79.03
scalpe pro,bath body and hair,shampoo and conditioner,4329,0.02,22000,-80.32
face pack,beauty and grooming,face and lip care,4298,0.00,18622,-76.92
sunsilk shampoo,bath body and hair,shampoo and conditioner,4297,0.00,17837,-75.91
boroplus,bath body and hair,face cream,4289,0.02,27965,-84.66
body oil,bath body and hair,body lotion,4289,0.00,29193,-85.31
cetaphil soap,bath body and hair,soap,4271,0.00,15235,-71.97
bb cream,bath body and hair,face cream,4245,0.05,18380,-76.90
cera ve,bath body and hair,body lotion,4243,0.02,9238,-54.07
hair dye,beauty and grooming,hair colour,4235,0.00,16335,-74.07
bodywash,bath body and hair,shower gel,4222,0.00,21840,-80.67
hair spray,beauty and grooming,mens grooming,4212,0.02,16539,-74.53
mars lipstick,makeup,lip makeup,4157,0.00,19859,-79.07
derma co,bath body and hair,face wash and scrub,4157,0.02,21867,-80.99
durex condoms,hygiene and wellness,sexual wellness,4139,0.07,22008,-81.19
dabur red toothpaste,hygiene and wellness,oral care,4132,0.00,16125,-74.38
shaving foam,beauty and grooming,shaving needs,4122,0.00,19406,-78.76
press on nails,makeup,nail paints and accessories,4113,0.09,20209,-79.65
stayfree secure,hygiene and wellness,feminine hygiene,4105,0.07,24111,-82.97
minimalist sunscreen,bath body and hair,face cream,4102,0.02,16640,-75.35
pond's,bath body and hair,"perfumes, deos and talc",4080,0.05,21286,-80.83
wishcare,bath body and hair,face and lip care,4046,0.07,21507,-81.19
underarm roll on,bath body and hair,"perfumes, deos and talc",4022,0.00,16095,-75.01
cinthol,bath body and hair,soap,4014,0.05,16325,-75.41
bombay shaving company,beauty and grooming,shaving needs,3997,0.02,21168,-81.12
veet cream,beauty and grooming,hair removal,3987,0.05,19834,-79.90
hair removal cream,beauty and grooming,hair removal,3981,0.00,17601,-77.38
mamaearth,bath body and hair,face wash and scrub,3964,0.00,16347,-75.75
toner,beauty and grooming,face makeup,3961,0.02,18831,-78.97
whisper xxl,hygiene and wellness,feminine hygiene,3947,0.00,12179,-67.59
hair removal spray,beauty and grooming,hair removal,3919,0.00,18605,-78.94
himalayas,bath body and hair,face wash and scrub,3914,0.05,14010,-72.06
hyphen,bath body and hair,face and lip care,3887,0.00,21868,-82.23
lux,bath body and hair,soap,3886,0.00,19200,-79.76
nails,makeup,nail paints and accessories,3882,0.05,19402,-79.99
electric toothbrush,hygiene and wellness,oral care,3876,0.02,20390,-80.99
lubricant,hygiene and wellness,sexual wellness,3875,0.00,18747,-79.33
vibrator,hygiene and wellness,sexual wellness,3859,0.00,9437,-59.11
wax,beauty and grooming,hair removal,3849,0.03,15686,-75.46
plush,hygiene and wellness,feminine hygiene,3823,0.03,19513,-80.41
rosemary oil,bath body and hair,hair oil and serum,3813,0.00,18314,-79.18
vaseline lotion,bath body and hair,body lotion,3808,0.10,15395,-75.26
compact,makeup,face makeup,3794,0.05,17102,-77.82
gillette blade,beauty and grooming,shaving needs,3786,0.00,33211,-88.60
vitamin c serum,beauty and grooming,face and lip care,3776,0.08,15529,-75.68
nivea lotion,bath body and hair,body lotion,3742,0.00,21992,-82.98
primer,makeup,face makeup,3738,0.00,14970,-75.03
simple,bath body and hair,face wash and scrub,3714,0.00,19350,-80.81
deos,bath body and hair,"perfumes, deos and talc",3680,0.00,21279,-82.71
glycerine,beauty and grooming,face and lip care,3679,0.13,20358,-81.93
crepe bandage,hygiene and wellness,wound care and pain relief,3679,0.03,14632,-74.86
nail,makeup,nail paints and accessories,3662,0.11,20688,-82.30
vicks inhaler,hygiene and wellness,basic pharma,3636,0.05,19994,-81.81
listerine,hygiene and wellness,oral care,3633,0.08,11977,-69.67
body scrubber,beauty and grooming,beauty accessories,3619,0.00,16115,-77.54
period panty,hygiene and wellness,feminine hygiene,3609,0.03,14989,-75.92
nail paint remover,makeup,nail paints and accessories,3592,0.00,19193,-81.28
bathing soap,bath body and hair,soap,3591,0.00,14737,-75.63
moisturising cream,bath body and hair,face cream,3572,0.00,34167,-89.55
pears bar,bath body and hair,soap,3560,0.00,22379,-84.09
himalaya shampoo,bath body and hair,shampoo and conditioner,3550,0.00,14127,-74.87
colgate toothbrush,hygiene and wellness,oral care,3547,0.00,14346,-75.28
meera shampoo,bath body and hair,shampoo and conditioner,3532,0.00,13735,-74.28
sandal soap,bath body and hair,soap,3502,0.03,22152,-84.19
colgate strong,hygiene and wellness,oral care,3481,0.00,22161,-84.29
head and shoulders shampoo,bath body and hair,shampoo and conditioner,3479,0.00,16865,-79.37
anti-dandruff shampoo,bath body and hair,shampoo and conditioner,3440,0.00,15760,-78.17
razor women,beauty and grooming,hair removal,3437,0.00,20111,-82.91
eyebrow pencils,makeup,eye makeup,3433,0.00,17224,-80.07
fiama soap,bath body and hair,soap,3422,0.00,13535,-74.72
deodorant,bath body and hair,"perfumes, deos and talc",3413,0.03,12980,-73.71
savlon,hygiene and wellness,wound care and pain relief,3409,0.00,15078,-77.39
derma roller,beauty and grooming,mens grooming,3394,0.03,17889,-81.03
sofy antibacteria,hygiene and wellness,feminine hygiene,3372,0.06,20108,-83.23
lens,hygiene and wellness,basic pharma,3369,0.06,15256,-77.92
n95 mask,hygiene and wellness,basic pharma,3362,0.00,36558,-90.80
dot and key,bath body and hair,face cream,3334,0.00,17669,-81.13
himalaya soap,bath body and hair,soap,3328,0.06,13290,-74.96
scalp massager,makeup,makeup brushes and tools,3305,0.00,14660,-77.46
whisper xxxl,hygiene and wellness,feminine hygiene,3295,0.03,14370,-77.07
parachute hair oil,bath body and hair,hair oil and serum,3290,0.00,14002,-76.50
liquid handwash,hygiene and wellness,hand wash and sanitizer,3287,0.00,19837,-83.43
pregnancy,hygiene and wellness,basic pharma,3268,0.03,16169,-79.79
garnier,beauty and grooming,hair colour,3263,0.03,15628,-79.12
facial razor,beauty and grooming,hair removal,3259,0.00,14228,-77.09
simple face wash,bath body and hair,face wash and scrub,3252,0.00,13819,-76.47
perfume women,bath body and hair,"perfumes, deos and talc",3238,0.03,17302,-81.29
nivea body lotion,bath body and hair,body lotion,3236,0.06,16163,-79.98
bath soap,bath body and hair,soap,3234,0.00,13704,-76.40
pears body wash,bath body and hair,shower gel,3233,0.00,15347,-78.93
lip tint,makeup,lip makeup,3208,0.00,16026,-79.98
pepsodent,hygiene and wellness,oral care,3188,0.00,15201,-79.03
price drop,hygiene and wellness,basic pharma,3187,0.00,13641,-76.64
makeup remover,beauty and grooming,face makeup,3168,0.00,13899,-77.21
tampons,hygiene and wellness,feminine hygiene,3152,0.06,15012,-79.00
hair conditioner,bath body and hair,shampoo and conditioner,3152,0.00,13403,-76.48
volini spray,hygiene and wellness,wound care and pain relief,3146,0.00,14322,-78.03
whisper choice,hygiene and wellness,feminine hygiene,3137,0.03,25105,-87.50
wooden comb,beauty and grooming,beauty accessories,3135,0.09,14824,-78.85
stayfree pad,hygiene and wellness,feminine hygiene,3131,0.03,8200,-61.82
cough,hygiene and wellness,basic pharma,3126,0.00,17507,-82.14
dry shampoo,bath body and hair,shampoo and conditioner,3124,0.03,17347,-81.99
bare anatomy shampoo,bath body and hair,shampoo and conditioner,3100,0.00,14967,-79.29
clinic plus shampoo,bath body and hair,shampoo and conditioner,3095,0.03,12604,-75.44
salicylic acid,beauty and grooming,face and lip care,3093,0.06,14646,-78.88
stayfree nights,hygiene and wellness,feminine hygiene,3079,0.03,18799,-83.62
be bodywise,bath body and hair,"perfumes, deos and talc",3079,0.00,15158,-79.69
sexual wellness,hygiene and wellness,sexual wellness,3076,0.12,35166,-91.25
mars lip liner,makeup,lip makeup,3075,0.09,12599,-75.59
deo,bath body and hair,"perfumes, deos and talc",3069,0.00,15150,-79.74
dot and key moisturizer,bath body and hair,face cream,3015,0.00,13119,-77.02
renee,makeup,eye makeup,3008,0.06,16342,-81.59
lotion,bath body and hair,body lotion,3006,0.06,17202,-82.53
nail glue,makeup,nail paints and accessories,3005,0.00,12971,-76.83
