search_string,canonical_term,l1_category,l2_category,emerging_score,confidence,passed_gates,m0_volume,mom_search_growth,mom_sales_growth,availability_pct,demand_gap,typed_pct,trend_stability_score,seasonality_flag,tags
mouthwash,mouthwash,hygiene and wellness,oral care,53.66,Medium,False,71940.0,3.54,0.0,59.26,33805924.82,11.69,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
toothbrush,toothbrush,hygiene and wellness,oral care,53.59,Medium,False,512669.0,1.97,0.0,59.26,33805924.82,10.27,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
electric toothbrush,electric toothbrush,hygiene and wellness,oral care,53.55,Medium,False,17031.0,0.99,0.0,59.26,33805924.82,9.39,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
toothpaste,toothpaste,hygiene and wellness,oral care,53.53,Medium,False,510868.0,0.61,0.0,59.26,33805924.82,11.81,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
durex condom,durex condom,hygiene and wellness,sexual wellness,51.65,Medium,True,57881.0,96.92,0.0,79.24,9806845.06,8.77,100.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|STABLE_UP
price drop,price drop,hygiene and wellness,basic pharma,51.19,Medium,True,11765.0,33.01,0.0,61.57,20346291.32,24.74,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
hair mask,hair mask,bath body and hair,shampoo and conditioner,51.13,Medium,False,52691.0,19.05,0.0,73.18,25957139.62,15.58,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
conditioner,conditioner,bath body and hair,shampoo and conditioner,50.77,Medium,False,167512.0,10.83,0.0,73.18,25957139.62,11.44,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
bare anatomy,bare anatomy,bath body and hair,shampoo and conditioner,50.75,Medium,False,93668.0,10.24,0.0,73.18,25957139.62,8.99,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
l'oreal shampoo,l'oreal shampoo,bath body and hair,shampoo and conditioner,50.67,Medium,False,118780.0,8.53,0.0,73.18,25957139.62,7.58,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
shampoo,shampoo,bath body and hair,shampoo and conditioner,50.63,Medium,False,524644.0,12.09,0.0,73.18,25957139.62,14.28,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
pilgrim shampoo,pilgrim shampoo,bath body and hair,shampoo and conditioner,50.46,Medium,False,20614.0,3.45,0.0,73.18,25957139.62,8.55,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
dove shampoo,dove shampoo,bath body and hair,shampoo and conditioner,50.43,Medium,False,91196.0,2.88,0.0,73.18,25957139.62,11.0,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
rose water,rose water,beauty and grooming,shampoo and conditioner,50.31,Medium,False,16326.0,0.0,0.0,73.18,25957139.62,15.78,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
lux soap,lux soap,bath body and hair,soap,49.97,Medium,True,15739.0,22.95,0.0,70.67,13484791.84,12.46,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
sensodyne toothpaste,sensodyne toothpaste,hygiene and wellness,oral care,49.03,Medium,False,28804.0,-16.65,0.0,59.26,33805924.82,7.62,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
cough medicine,cough medicine,hygiene and wellness,basic pharma,48.57,Medium,False,12002.0,12.66,0.0,61.57,20346291.32,10.0,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
adult diaper,adult diaper,hygiene and wellness,basic pharma,48.33,Medium,False,122638.0,7.13,0.0,61.57,20346291.32,8.35,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
condom,condom,hygiene and wellness,sexual wellness,47.99,Medium,False,551578.0,14.01,0.0,79.24,9806845.06,12.65,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
gillette blade,gillette blade,beauty and grooming,shaving needs,47.95,Medium,True,44143.0,58.65,0.0,70.32,4761087.74,6.57,100.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|STABLE_UP
aloe vera,aloe vera,beauty and grooming,face and lip care,47.89,Medium,True,25923.0,101.81,0.0,66.05,54260.38,14.72,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|DEMAND_SURGE|AUTOSUGGEST_DRIVEN|STABLE_UP
pilgrim serum,pilgrim serum,beauty and grooming,face and lip care,47.66,Medium,True,40761.0,96.42,0.0,66.05,54260.38,8.23,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|HIGH_GROWTH|AUTOSUGGEST_DRIVEN|STABLE_UP
moisturising cream,moisturising cream,bath body and hair,face cream,47.65,Medium,True,36272.0,94.04,0.0,78.65,282142.76,11.99,100.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|STABLE_UP
ghar soaps,ghar soaps,bath body and hair,soap,47.47,Medium,True,30577.0,51.97,0.0,70.67,13484791.84,9.94,75.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|ACCELERATING
simple wash,simple wash,bath body and hair,face wash and scrub,47.05,Medium,True,11769.0,82.58,0.0,87.25,6203.3,5.36,100.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|STABLE_UP
ghar soap,ghar soaps,bath body and hair,soap,46.8,Medium,True,21923.0,36.38,0.0,70.67,13484791.84,13.79,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
handwash,handwash,hygiene and wellness,hand wash and sanitizer,46.59,Medium,True,412165.0,24.82,0.0,78.04,4993263.34,10.99,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
blade,blade,beauty and grooming,hair removal,46.59,Medium,False,11485.0,15.46,0.0,69.71,5983529.01,18.25,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
bellavita perfume,bellavita perfume,bath body and hair,"perfumes, deos and talc",46.05,Medium,True,12475.0,146.74,0.0,100,0.0,9.63,75.0,SEASONAL_NORMAL,DEMAND_SURGE|AUTOSUGGEST_DRIVEN|ACCELERATING
dove soaps,dove soaps,bath body and hair,soap,45.9,Medium,False,88901.0,15.5,0.0,70.67,13484791.84,8.8,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
cotton pads,cotton pads,makeup,makeup brushes and tools,45.89,Medium,False,15031.0,15.26,0.0,56.77,4271526.83,12.0,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
pears,pears,bath body and hair,soap,45.74,Medium,False,116769.0,11.8,0.0,70.67,13484791.84,13.4,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
razor for men,razor for men,beauty and grooming,shaving needs,45.74,Medium,False,30050.0,7.12,0.0,70.32,4761087.74,11.23,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
dove,dove,bath body and hair,soap,45.61,Medium,False,81509.0,8.89,0.0,70.67,13484791.84,10.54,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
bandage,bandage,hygiene and wellness,wound care and pain relief,45.58,Medium,True,12348.0,75.07,0.0,65.97,6420294.68,9.63,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|HIGH_GROWTH|AUTOSUGGEST_DRIVEN|ACCELERATING
soap,soap,bath body and hair,soap,45.51,Medium,False,232043.0,8.92,0.0,70.67,13484791.84,23.31,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
soaps,soaps,bath body and hair,soap,45.41,Medium,False,223986.0,8.74,0.0,70.67,13484791.84,12.27,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
pears soap,pears soap,bath body and hair,soap,45.4,Medium,False,86788.0,4.05,0.0,70.67,13484791.84,12.89,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
mehendi cones,mehendi cones,beauty and grooming,alta,45.22,Medium,True,12322.0,39.83,0.0,53.45,24764.25,10.16,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
eyebrow pencils,eyebrow pencils,makeup,eye makeup,45.17,Medium,True,11186.0,38.87,0.0,74.85,14592.04,10.95,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
moisturising lotion,moisturising lotion,bath body and hair,body lotion,45.03,Medium,True,36671.0,32.39,0.0,84.79,359436.93,9.65,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
castor oil,castor oil,bath body and hair,hair oil and serum,44.72,Medium,True,52431.0,59.56,0.0,83.02,5945372.95,12.47,75.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|ACCELERATING
vaseline jelly,vaseline jelly,beauty and grooming,face and lip care,44.63,Medium,True,45069.0,26.08,0.0,66.05,54260.38,8.32,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
nail,nail,makeup,nail paints and accessories,44.48,Medium,False,15220.0,13.28,0.0,71.65,1024308.65,18.52,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
lip liner,lip liner,makeup,lip makeup,44.44,Medium,True,70238.0,21.85,0.0,88.47,8747.92,17.45,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
pregnancy test,pregnancy test,hygiene and wellness,basic pharma,44.11,Medium,False,83823.0,-3.68,0.0,61.57,20346291.32,9.11,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
pregnancy kit,pregnancy kit,hygiene and wellness,basic pharma,44.09,Medium,False,205630.0,-1.84,0.0,61.57,20346291.32,8.28,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
medicine,medicine,hygiene and wellness,basic pharma,44.03,Medium,False,115946.0,-5.73,0.0,61.57,20346291.32,7.19,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
prega news,prega news,hygiene and wellness,basic pharma,44.0,Medium,False,73438.0,-6.28,0.0,61.57,20346291.32,6.85,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
facial kit,facial kit,beauty and grooming,face and lip care,44.0,Medium,True,66848.0,98.57,0.0,66.05,54260.38,13.88,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|HIGH_GROWTH|AUTOSUGGEST_DRIVEN|ACCELERATING
nail paint,nail paint,makeup,nail paints and accessories,43.94,Medium,False,63894.0,0.75,0.0,71.65,1024308.65,11.79,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
hand sanitizer,hand sanitizer,hygiene and wellness,hand wash and sanitizer,43.84,Medium,True,22050.0,48.11,0.0,78.04,4993263.34,10.99,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
mars,mars,makeup,milk chocolates,43.75,Medium,False,19491.0,6.11,0,100,0.0,14.9,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
dot & key,dot & key,bath body and hair,face cream,43.67,Medium,False,24242.0,1.47,0.0,78.65,282142.76,8.18,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
derma co,derma co,bath body and hair,face wash and scrub,43.59,Medium,False,17264.0,2.23,0.0,87.25,6203.3,7.53,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
prega kit,prega kit,hygiene and wellness,basic pharma,43.55,Medium,False,35048.0,-16.76,0.0,61.57,20346291.32,7.19,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
body scrub,body scrub,bath body and hair,shower gel,43.27,Medium,False,32225.0,9.12,0.0,76.01,7704801.8,15.24,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
body wash,body wash,bath body and hair,shower gel,43.02,Medium,False,368588.0,3.32,0.0,76.01,7704801.8,12.2,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
chemist at play,chemist at play,bath body and hair,shower gel,43.02,Medium,False,69685.0,3.26,0.0,76.01,7704801.8,10.0,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
gillette,gillette,beauty and grooming,shaving needs,42.59,Medium,True,19579.0,21.22,0.0,70.32,4761087.74,10.83,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
dettol,dettol,hygiene and wellness,wound care and pain relief,42.5,Medium,False,203094.0,3.31,0.0,65.97,6420294.68,11.13,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
rosemary oil,rosemary oil,bath body and hair,hair oil and serum,42.41,Medium,False,11225.0,5.71,0.0,83.02,5945372.95,13.62,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
hair oil,hair oil,bath body and hair,hair oil and serum,42.4,Medium,False,137968.0,5.6,0.0,83.02,5945372.95,13.11,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
hair serum,hair serum,bath body and hair,hair oil and serum,42.36,Medium,False,160500.0,4.49,0.0,83.02,5945372.95,12.13,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
cough syrup,cough syrup,hygiene and wellness,basic pharma,42.27,Medium,False,29923.0,-46.62,0.0,61.57,20346291.32,9.39,50.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
wax,wax,beauty and grooming,hair removal,42.21,Medium,False,12713.0,0.86,0.0,69.71,5983529.01,19.75,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
sensodyne,sensodyne,hygiene and wellness,oral care,42.19,Medium,False,126160.0,-1.42,0.0,59.26,33805924.82,8.75,0.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN
coconut oil,coconut oil,bath body and hair,hair oil and serum,42.18,Medium,False,493904.0,0.36,0.0,83.02,5945372.95,13.14,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
rosemary water,rosemary water,bath body and hair,hair oil and serum,42.16,Medium,False,11065.0,0.0,0.0,83.02,5945372.95,11.0,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
dettol handwash,dettol handwash,hygiene and wellness,hand wash and sanitizer,42.1,Medium,False,89389.0,7.64,0.0,78.04,4993263.34,8.15,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
primer,primer,makeup,face makeup,41.95,Medium,True,12236.0,41.97,0.0,75.53,985183.97,16.22,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
toner,toner,beauty and grooming,face makeup,41.58,Medium,True,16483.0,33.39,0.0,75.53,985183.97,9.58,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
spray bottles,spray bottle,makeup,makeup brushes and tools,41.48,Medium,False,12955.0,0.0,0.0,56.77,4271526.83,13.62,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
simple,simple,bath body and hair,face wash and scrub,41.31,Medium,True,13593.0,36.5,0.0,87.25,6203.3,9.59,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
cetaphil soap,cetaphil soap,bath body and hair,soap,40.8,Medium,False,13391.0,-15.92,0.0,70.67,13484791.84,8.61,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
aloe vera gel,aloe vera gel,beauty and grooming,face and lip care,40.79,Medium,True,25127.0,23.94,0.0,66.05,54260.38,11.5,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
serum,serum,beauty and grooming,face and lip care,40.67,Medium,True,28363.0,21.14,0.0,66.05,54260.38,19.18,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
compact,compact,makeup,face makeup,40.55,Medium,False,10890.0,9.57,0.0,75.53,985183.97,10.43,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
the derma co,the derma co,bath body and hair,face wash and scrub,40.53,Medium,False,19217.0,18.38,0.0,87.25,6203.3,9.21,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
sunscreen,sunscreen,bath body and hair,face cream,40.5,Medium,False,267820.0,14.88,0.0,78.65,282142.76,11.82,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
minoxidil,minoxidil,beauty and grooming,mens grooming,40.5,Medium,False,10517.0,15.74,0.0,55.13,194003.13,13.27,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
face scrub,face scrub,bath body and hair,face wash and scrub,40.39,Medium,False,36817.0,14.93,0.0,87.25,6203.3,11.6,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
cetaphil cleanser,cetaphil cleanser,bath body and hair,face wash and scrub,40.33,Medium,False,155800.0,13.72,0.0,87.25,6203.3,7.35,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
powder,powder,bath body and hair,"perfumes, deos and talc",40.29,Medium,False,18576.0,12.73,0.0,100,0.0,17.11,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
roll on,roll on,bath body and hair,"perfumes, deos and talc",40.22,Medium,False,66828.0,11.06,0.0,100,0.0,15.11,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
foundation,foundation,makeup,face makeup,40.18,Medium,False,29704.0,0.87,0.0,75.53,985183.97,13.1,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
face serum,face serum,beauty and grooming,face and lip care,40.18,Medium,False,27984.0,9.58,0.0,66.05,54260.38,15.33,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
multani mitti,multani mitti,beauty and grooming,face and lip care,40.06,Medium,False,19082.0,6.84,0.0,66.05,54260.38,8.46,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
facewash,facewash,bath body and hair,face wash and scrub,40.02,Medium,False,89331.0,6.5,0.0,87.25,6203.3,16.09,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
face wash,face wash,bath body and hair,face wash and scrub,40.01,Medium,False,407387.0,6.18,0.0,87.25,6203.3,13.79,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
kajal,kajal,makeup,eye makeup,40.0,Medium,False,97764.0,5.94,0.0,74.85,14592.04,15.28,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
shoe polish,shoe polish,beauty and grooming,mens grooming,39.98,Medium,False,23362.0,3.66,0.0,55.13,194003.13,16.43,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
sex toys,sex toys,hygiene and wellness,sexual wellness,39.95,Medium,False,30111.0,-0.71,0.0,79.24,9806845.06,11.68,50.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN
mascara,mascara,makeup,eye makeup,39.9,Medium,False,28462.0,3.5,0.0,74.85,14592.04,11.16,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
fair and lovely,fair and lovely,bath body and hair,face cream,39.9,Medium,False,19659.0,1.07,0.0,78.65,282142.76,11.7,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
face pack,face pack,beauty and grooming,face and lip care,39.89,Medium,False,16646.0,2.96,0.0,66.05,54260.38,17.63,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
cera ve,cera ve,bath body and hair,body lotion,39.89,Medium,False,11435.0,0.0,0.0,84.79,359436.93,18.72,75.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|ACCELERATING
